element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Mn,2,210.457,0.0015,210.4569,0.0004,30,,,4,4,,
Mn,2,210.589,0.0015,210.59258,0.00022,20,,,5,5,,
Mn,2,210.612,0.0015,210.61345,0.00018,5,,,2,2,,
Mn,2,210.6760,0.0006,210.6767,0.0004,30,,,2,2,,
Mn,2,210.697,0.0015,210.6967,0.0008,5,,,2,3,,
Mn,2,210.806,0.0015,210.80560,0.00022,100,,,6,7,,
Mn,2,210.946,0.0015,210.9454,0.0008,5,,,3,3,,
Mn,1,210.958,,,,1700,,,,,,
Mn,2,211.1022,0.0006,211.10352,0.00013,10,,,5,5,,
Mn,2,211.164,0.0015,211.1639,0.0004,1,,,3,4,,
Mn,2,211.179,0.0015,211.18037,0.00013,2,,,5,4,,
Mn,2,211.201,0.0015,,,3,,,,,,
Mn,2,211.254,0.0015,211.25429,0.00022,0,,,4,5,,
Mn,2,211.3964,0.0006,211.39784,0.00022,300,5.3e+07,D,4,5,,
Mn,2,211.5391,0.0006,211.54030,0.00018,10,,,2,2,,
Mn,2,211.567,0.0015,211.56814,0.00013,2,,,3,2,,
Mn,2,211.605,0.0015,211.6042,0.0004,10,,,2,2,,
Mn,2,211.790,0.0015,211.79104,0.00018,1,,,3,2,,
Mn,2,211.8454,0.0006,211.84578,0.00013,30,,,4,4,,
Mn,2,211.872,0.0015,211.87264,0.00022,1,,,3,3,,
Mn,2,211.940,0.0015,211.9437,0.0003,30,7.e+07,D,4,4,,
Mn,2,211.965,0.0015,211.96528,0.00022,100,,,5,6,,
Mn,2,211.978,0.0015,211.97742,0.00018,60*,1.3e+08,D,4,3,,
Mn,2,211.978,0.0015,211.9783,0.0003,60*,,,3,4,,
Mn,2,212.027,0.0015,212.0276,0.0008,15,,,1,1,,
Mn,2,212.067,0.0015,212.0666,0.0003,1,,,3,2,,
Mn,3,212.325,,,,300,,,,,,
Mn,2,212.916,0.0015,212.9151,0.0003,2,,,4,4,,
Mn,2,212.991,0.0015,212.9904,0.0008,1,,,2,3,,
Mn,2,213.105,0.0015,213.1057,0.0008,30,,,3,3,,
Mn,2,213.148,0.0015,213.14964,0.00018,2,,,3,2,,
Mn,2,213.214,0.0015,213.2145,0.0004,1,,,3,2,,
Mn,2,213.3452,0.0006,213.34555,0.00018,100,8.e+07,D,4,4,,
Mn,2,213.457,0.0015,213.45836,0.00018,20,,,4,3,,
Mn,2,213.521,0.0015,213.52178,0.00018,50,,,2,3,,
Mn,2,213.583,0.0015,213.5851,0.0003,2,,,6,5,,
Mn,2,213.623,0.0015,213.62473,0.00014,1,,,2,2,,
Mn,2,213.635,0.0015,213.6365,0.0004,20,,,2,2,,
Mn,2,213.717,0.0015,213.71773,0.00018,15,,,3,3,,
Mn,2,213.896,0.0015,213.89691,0.00023,1,,,5,4,,
Mn,2,213.952,0.0015,213.9553,0.0004,1,,,3,2,,
Mn,2,214.0350,0.0006,214.03651,0.00014,20,,,1,2,,
Mn,2,214.337,0.0015,214.33700,0.00014,40,,,3,4,,
