element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Cu,1,211.1280,0.0007,211.12789,0.00022,4a,,,3/2,3/2,,
Cu,2,211.12934,0.00004,211.129323,0.000009,860000,6.6e+07,C,4,3,,
Cu,2,211.209930,0.000019,211.209946,0.000010,55000000,3.5e+08,C+,2,1,,
Cu,2,211.25245,0.00014,211.252195,0.000009,110000,1.2e+07,C,3,2,,
Cu,1,211.326,0.006,211.3238,0.0022,2h,,,1/2,3/2,,
Cu,2,211.730881,0.000010,211.730874,0.000008,12000000,7.2e+08,B,3,4,,
Cu,2,211.83748,0.00020,211.837484,0.000008,260000,2.7e+07,B,3,2,,
Cu,2,212.297861,0.000013,212.297858,0.000007,71000000,2.2e+08,C+,2,2,,
Cu,1,212.435,0.006,212.439,0.004,5h,,,3/2,3/2,,
Cu,2,212.510512,0.000012,212.510507,0.000008,3800000,2.28e+08,B+,3,4,,
Cu,2,212.52670,0.00005,212.526686,0.000009,610000,6.6e+07,C,2,2,,
Cu,2,212.604361,0.000007,212.604362,0.000006,74000000,1.41e+08,B,2,2,,
Cu,2,213.00848,0.00005,213.008459,0.000010,1000000,4.4e+07,B+,4,4,,
Cu,1,213.0762,0.0021,213.0762,0.0004,50r,,,5/2,5/2,,
Cu,2,213.12548,0.00006,213.125595,0.000009,190000,1.3e+07,C,3,3,,
Cu,1,213.4283,0.0004,213.4282,0.0003,10a,,,3/2,1/2,,
Cu,2,213.43400,0.00004,213.434030,0.000009,9500000,7.7e+08,B,4,5,,
Cu,1,213.4952,0.0004,213.4950,0.0003,7a,,,3/2,3/2,,
Cu,2,213.5399,,213.539887,0.000009,:,4.e+07,E,0,1,,
Cu,2,213.598008,0.000008,213.598004,0.000007,140000000,4.59e+08,A+,3,4,,
Cu,1,213.8546,0.0004,213.8549,0.0003,20a,,,5/2,3/2,,
Cu,1,214.037,0.006,214.021,0.018,1,,,5/2,7/2,,
Cu,1,214.0533,0.0004,214.0538,0.0006,10a,,,5/2,5/2,,
Cu,2,214.4706,0.0010,214.470358,0.000008,160000*,1.5e+07,C,3,2,,
Cu,2,214.4706,0.0010,214.472206,0.000014,160000*,,,3,3,,
Cu,2,214.54920,0.00004,214.549206,0.000008,1200000,1.14e+08,B,1,1,,
Cu,2,214.69187,0.00004,214.691894,0.000008,1100000,1.04e+08,C,3,3,,
Cu,2,,,214.894587,0.000007,m,1.12e+08,C,2,2,,
Cu,2,214.89830,0.00006,214.898283,0.000008,59000000,8.8e+07,B,3,3,,
Cu,2,215.18083,0.00004,215.180815,0.000008,4200000,2.59e+08,B,2,3,,
Cu,2,215.2910,0.0020,215.290029,0.000009,23000,,,2,1,,
Cu,3,215.728,,,,150,,,,,,
Cu,2,215.84108,0.00010,215.841130,0.000019,60000,,,2,2,,
Cu,2,216.131978,0.000023,216.131990,0.000008,4200000,3.1e+08,B,2,3,,
Cu,2,216.17998,0.00010,216.180255,0.000008,58000,,,3,2,,
Cu,1,216.5093,0.0021,216.50934,0.00014,1300r,5.5e+07,C+,1/2,3/2,,
Cu,2,216.6850,0.0020,216.68678,0.00003,21000,,,3,4,,
Cu,1,216.9586,0.0004,216.9587,0.0003,20a,,,3/2,1/2,,
Cu,1,217.1835,0.0004,217.1837,0.0003,15a,,,3/2,3/2,,
Cu,2,217.498119,0.000009,217.498126,0.000007,7500000,4.9e+08,B,3,4,,
Cu,1,217.8944,0.0021,217.8949,0.0004,1600r,9.1e+07,C+,1/2,3/2,,
Cu,2,217.941026,0.000022,217.940994,0.000007,72000000,2.15e+08,B,1,2,,
Cu,2,218.07508,0.00005,218.07508,0.00005,680000,,,4,5,,
Cu,2,218.14243,0.00004,218.142461,0.000008,290000,2.4e+07,C,3,3,,
Cu,1,218.1720,0.0021,218.1725,0.0008,1700r,9.9e+07,C+,1/2,1/2,,
Cu,2,218.28585,0.00005,218.285780,0.000008,560000,8.0e+07,C+,2,1,,
Cu,2,218.93693,0.00010,218.936930,0.000009,240000,1.3e+07,C,0,1,,
Cu,2,218.962967,0.000009,218.962971,0.000007,47000000,1.04e+08,B,2,3,,
Cu,2,219.0500,0.0020,219.05192,0.00003,57000,,,4,3,,
Cu,2,219.226759,0.000009,219.226753,0.000007,73000000,2.8e+08,B,2,3,,
Cu,2,219.568180,0.000017,219.568192,0.000008,4200000,4.2e+08,B,3,4,,
Cu,2,219.78688,0.00015,219.786726,0.000007,71000,,,3,3,,
Cu,1,219.9583,0.0021,219.9592,0.0010,1700r,,,5/2,5/2,,
Cu,1,219.9752,0.0021,219.9753,0.0003,1300r,,,3/2,3/2,,
Cu,2,220.0300,0.0020,220.031543,0.000020,47000,,,0,1,,
Cu,2,220.05078,0.00003,220.050822,0.000009,1600000,2.1e+08,C,1,2,,
Cu,2,220.1000,0.0020,220.102822,0.000020,33000,,,2,3,,
Cu,2,220.98049,0.00004,220.980507,0.000007,1900000,2.1e+08,C,3,3,,
Cu,2,221.026692,0.000011,221.026693,0.000007,56000000,1.53e+08,C+,2,2,,
Cu,2,221.27470,0.00006,221.274730,0.000008,1100000,1.4e+08,C,2,2,,
Cu,1,221.4581,0.0021,221.4591,0.0010,1600r,,,5/2,3/2,,
Cu,2,221.51054,0.00003,221.510550,0.000008,3800000,4.9e+08,B,2,3,,
Cu,1,221.5654,0.0021,221.5660,0.0005,1000r,,,3/2,1/2,,
Cu,2,221.810770,0.000007,221.810772,0.000006,66000000,3.5e+08,C+,2,1,,
Cu,2,221.85123,0.00004,221.851209,0.000008,1900000,2.6e+08,C,1,2,,
Cu,2,222.1649,0.0003,222.16477,0.00008,99000,,,2,2,,
Cu,2,222.46906,0.00005,222.469062,0.000011,1300000,1.3e+08,C,1,2,,
Cu,1,222.5697,0.0021,222.5702,0.0006,2100r,4.4e+07,C+,1/2,1/2,,
Cu,2,222.67798,0.00004,222.677999,0.000007,2200000,2.9e+08,C,2,2,,
Cu,1,222.7775,0.0021,222.7773,0.0004,1600r,,,3/2,5/2,,
Cu,2,222.886748,0.000007,222.886745,0.000007,35000000,3.88e+08,B+,1,0,,
Cu,2,222.98529,0.00004,222.985346,0.000007,1800000,2.1e+08,C,2,3,,
Cu,1,223.0084,0.0021,223.0092,0.0007,2500r,,,5/2,7/2,,
Cu,2,223.01439,0.00007,223.014604,0.000009,1900000,1.9e+08,C,1,1,,
Cu,2,223.03979,0.00007,223.039901,0.000009,440000,2.0e+07,C,3,4,,
Cu,2,223.09512,0.00006,223.095279,0.000008,1600000,2.2e+08,C,2,2,,
Cu,2,223.15817,0.00004,223.158204,0.000008,1100000,1.14e+08,B,3,2,,
Cu,1,223.6278,0.0021,223.6286,0.0009,900r,,,3/2,3/2,,
Cu,1,223.8454,0.0021,223.8462,0.0007,1100r,,,3/2,5/2,,
Cu,2,224.21424,0.00011,224.214217,0.000007,240000,1.07e+07,C,2,3,,
Cu,2,224.261775,0.000010,224.261764,0.000008,54000000,2.5e+08,C+,2,3,,
Cu,2,224.2718,0.0003,224.271791,0.000009,100000,5.8e+07,C,2,1,,
Cu,2,224.30938,0.00007,224.309395,0.000010,230000,4.0e+07,C,1,2,,
Cu,1,224.4265,0.0021,224.4267,0.0003,2300r,1.85e+06,C+,1/2,3/2,,
Cu,2,224.70017,0.00005,224.700170,0.000010,66000000,3.3e+08,B,3,2,,
Cu,1,224.7503,0.0017,224.7514,0.0011,2,,,3/2,3/2,,
Cu,2,224.89666,0.00004,224.896667,0.000007,1800000,9.1e+07,B,3,4,,
Cu,2,225.18564,0.00005,225.185601,0.000009,72000,5.8e+06,C,2,3,,
Cu,2,225.30326,0.00016,225.30273,0.00003,51000,,,2,1,,
Cu,2,225.49880,0.00004,225.498778,0.000012,620000,1.9e+08,C,1,1,,
Cu,1,225.5286,0.0017,225.533,0.004,0,,,3/2,1/2,,
Cu,1,226.0528,0.0021,226.0529,0.0004,1300r,,,5/2,7/2,,
Cu,1,226.3084,0.0004,226.3085,0.0003,10a,,,3/2,1/2,,
Cu,2,226.32130,0.00004,226.321318,0.000007,580000,1.54e+08,B+,2,1,,
