element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,4,,281.737,,,2.30e+06,B,1/2,3/2,,
O,3,,281.8697,,,2.66e+06,C+,2,2,,
O,4,,282.238,,,9.17e+06,B,1/2,1/2,,
O,2,,282.2719,,,7.35e+05,D,3/2,3/2,,
O,4,,282.874,,,7.93e+07,B,1/2,1/2,,
O,4,,282.917,,,1.56e+07,B,7/2,5/2,,
O,4,,283.567,,,2.38e+05,C,5/2,3/2,,
O,2,283.6220,283.6208,,7,3.62e+06,D,1/2,3/2,,
O,4,283.626,283.627,,160,8.43e+07,B,5/2,3/2,,
O,3,,283.6308,,,1.46e+07,C+,3,2,,
O,4,,284.250,,,7.81e+07,B,1/2,3/2,,
O,3,,284.575,,,2.90e+07,C+,2,3,,
O,4,,284.697,,,2.11e+06,C+,3/2,3/2,,
O,3,,284.893,,,3.26e+07,C+,3,4,,
O,3,,285.375,,,2.72e+07,C+,1,2,,
O,3,,286.252,,,5.01e+06,C+,2,2,,
O,3,,286.260,,,3.58e+06,C+,3,3,,
O,4,,286.638,,,1.31e+06,B,3/2,1/2,,
O,1,,287.62948,,,1.47e+06,C,1,0,,
O,4,,287.868,,,2.58e+06,B,1/2,1/2,,
O,1,,287.89312,,,3.68e+05,C,1,1,,
O,1,,287.89776,,,6.13e+05,C,2,1,,
O,1,,287.89906,,,4.90e+05,C,0,1,,
O,3,,287.957,,,1.39e+05,C,3,2,,
O,4,,288.050,,,3.22e+06,B,3/2,3/2,,
O,1,,288.38092,,,3.66e+05,C,1,2,,
O,1,,288.38557,,,1.10e+06,C+,2,2,,
O,2,288.4214,288.4221,,9,,,3/2,3/2,,
O,2,288.4778,288.4756,,4,,,5/2,7/2,,
O,2,,288.5799,,,,,5/2,5/2,,
O,2,288.7964,288.7964,,5w,,,7/2,9/2,,
O,2,,288.8203,,,,,5/2,5/2,,
O,2,289.1289,289.1254,,6,,,7/2,7/2,,
O,2,289.1684,289.1685,,7,,,7/2,9/2,,
O,2,289.2306,289.2302,,3*,,,7/2,5/2,,
O,2,289.2306,289.2307,,3*,,,7/2,7/2,,
O,4,,289.292,,,6.35e+05,B,1/2,3/2,,
O,2,289.7510,289.7505,,8,,,7/2,9/2,,
O,2,,289.9832,,,,,9/2,7/2,,
O,2,290.0267,290.0265,,7,,,9/2,9/2,,
O,2,,290.0891,,,,,9/2,7/2,,
O,2,290.4245,290.4238,,8,,,3/2,5/2,,
O,4,,290.469,,,3.67e+05,B,3/2,3/2,,
O,2,290.5010,290.5004,,8,,,5/2,7/2,,
O,2,,290.6120,,,,,9/2,9/2,,
O,4,,290.655,,,3.66e+06,B,3/2,1/2,,
O,2,290.6553,290.6553,,13,,,9/2,11/2,,
O,4,,290.714,,,3.29e+06,B,5/2,3/2,,
O,2,290.8643,290.8637,,6,,,5/2,7/2,,
O,2,290.8781,290.8798,,3,,,5/2,5/2,,
O,2,291.1130,291.1121,,8,,,3/2,5/2,,
O,2,,291.1594,,,,,7/2,7/2,,
O,2,291.1769,291.1770,,11,,,7/2,9/2,,
O,2,291.5243,291.5244,,2,,,7/2,7/2,,
O,2,291.5578,291.5576,,8,,,5/2,7/2,,
O,2,,291.5702,,,,,5/2,5/2,,
O,4,,291.631,,,1.06e+08,B,1/2,3/2,,
O,2,,292.0470,,,,,9/2,9/2,,
O,4,292.145,292.146,,160,1.27e+08,B,3/2,5/2,,
O,4,,292.588,,,6.28e+04,C,5/2,5/2,,
O,4,,292.618,,,2.11e+07,B,3/2,3/2,,
O,4,,292.683,,,1.26e+06,C+,7/2,5/2,,
O,4,,292.836,,,1.32e+06,C+,5/2,3/2,,
O,5,294.133,,,200,,,,,,
O,5,294.165,,,210,,,,,,
O,4,,295.772,,,2.38e+07,B,5/2,5/2,,
O,4,,295.772,,,8.94e+05,B,5/2,7/2,,
O,1,,295.83650,,,2.42e-04,C+,2,0,E2,
O,3,295.968,295.9695,,80,1.83e+08,B,1,2,,
O,2,296.4169,296.4182,,3,,,3/2,1/2,,
O,2,296.6098,296.6088,,4,,,3/2,1/2,,
O,1,297.229,297.22861,,265,7.54e-02,B+,1,0,M1,
O,2,297.2769,297.2745,,4,,,7/2,7/2,,
O,4,,297.355,,,2.38e+07,B,7/2,7/2,,
O,4,,297.355,,,1.17e+06,B,7/2,5/2,,
O,2,297.9049,297.9061,,5,,,1/2,1/2,,
O,2,298.0449,298.0451,,3,,,5/2,7/2,,
O,4,,298.086,,,1.31e+06,B,3/2,3/2,,
O,4,,298.234,,,1.18e+07,B,5/2,3/2,,
O,3,298.378,298.3781,,250,2.15e+08,B,1,2,,
O,2,299.0673,299.0668,,4,,,3/2,5/2,,
O,2,,299.1221,,,,,3/2,3/2,,
O,3,,299.2081,,,9.32e+06,C,1,2,,
O,2,299.5871,299.5810,,7w*,,,9/2,11/2,,
O,2,299.5871,299.5810,,7w*,,,9/2,9/2,,
O,2,299.5871,299.5916,,7w*,,,7/2,9/2,,
O,3,,299.6480,,,4.64e+07,C,1,1,,
O,2,,299.6937,,,,,3/2,3/2,,
O,2,,299.7188,,,,,1/2,3/2,,
O,3,,299.7689,,,6.88e+06,C,2,3,,
O,4,,299.937,,,6.88e+06,B,1/2,3/2,,
O,4,,300.003,,,8.25e+06,B,3/2,5/2,,
O,4,,300.027,,,1.38e+06,B,3/2,3/2,,
O,2,300.1696,300.1693,,5,,,5/2,5/2,,
O,2,300.2977,300.2978,,8,,,1/2,1/2,,
O,3,,300.4344,,,4.27e+07,C,2,2,,
O,4,,300.459,,,1.28e+07,B,3/2,1/2,,
O,2,300.5958,300.5950,,10,,,5/2,7/2,,
O,2,300.5958,300.5979,,10,,,5/2,7/2,,
O,2,,300.6122,,,,,5/2,5/2,,
O,2,300.6565,300.6544,,5,,,7/2,7/2,,
O,2,300.7035,300.7010,,14bl*,,,7/2,9/2,,
O,2,300.7035,300.7029,,14bl*,,,1/2,3/2,,
O,2,,300.7112,,,,,5/2,5/2,,
O,2,,300.7118,,,,,5/2,7/2,,
O,2,300.7681,300.7678,,7*,,,7/2,5/2,,
O,2,300.7681,300.7683,,7*,,,7/2,7/2,,
O,2,300.8318,300.8307,,9,,,3/2,5/2,,
O,2,,300.8422,,,,,3/2,3/2,,
O,3,,300.8779,,,1.53e+07,C,2,1,,
O,2,300.9570,300.9579,,7,,,3/2,5/2,,
O,2,,300.9722,,,,,5/2,5/2,,
O,2,,301.0138,,,,,3/2,3/2,,
O,2,301.1534,301.1527,,9*,,,5/2,5/2,,
O,2,301.1534,301.1533,,9*,,,5/2,7/2,,
O,2,,301.2756,,,,,3/2,5/2,,
O,2,301.2825,301.2806,,8*,,,1/2,3/2,,
O,2,301.2825,301.2857,,8*,,,1/2,1/2,,
O,2,301.3357,301.3361,,11,,,5/2,7/2,,
O,2,,301.3497,,,,,5/2,5/2,,
O,2,301.4158,301.4145,,7,,,5/2,5/2,,
O,2,301.4469,301.4459,,8,,,1/2,3/2,,
O,2,,301.5928,,,,,3/2,3/2,,
O,2,301.5974,301.5978,,7,,,3/2,1/2,,
O,4,,301.711,,,8.60e+06,B,3/2,5/2,,
O,3,301.763,301.7615,,80,5.38e+07,C,3,3,,
O,4,,301.976,,,1.43e+06,B,3/2,3/2,,
O,2,302.0173,302.0163,,5,,,3/2,5/2,,
O,3,,302.3139,,,2.46e+05,D,0,1,,
O,3,302.345,302.3425,,80,4.79e+07,C+,1,2,,
O,3,,302.4359,,,9.39e+06,C,3,2,,
O,3,,302.4540,,,6.16e+07,C+,0,1,,
O,2,302.5218,302.5232,,7,,,7/2,7/2,,
O,2,302.5705,302.5704,,9,,,7/2,9/2,,
O,3,,302.6330,,,5.51e+05,D,1,1,,
O,2,302.6383,302.6380,,1w*,,,7/2,5/2,,
O,2,302.6383,302.6385,,1w*,,,7/2,7/2,,
O,2,302.7577,302.7559,,1*,,,3/2,3/2,,
O,2,302.7577,302.7587,,1*,,,5/2,5/2,,
O,2,302.7976,302.7971,,7,,,5/2,7/2,,
O,4,,302.804,,,2.64e+07,B,1/2,1/2,,
O,2,,302.8545,,,,,7/2,7/2,,
O,2,302.8736,302.8735,,9,,,7/2,9/2,,
O,3,,302.9860,,,1.10e+05,D,1,2,,
O,2,303.1929,303.1919,,3*,,,5/2,7/2,,
O,2,303.1929,303.1948,,3*,,,3/2,5/2,,
O,2,,303.2063,,,,,5/2,5/2,,
O,2,303.2084,303.2077,,12,,,7/2,9/2,,
O,2,,303.2093,,,,,5/2,5/2,,
O,2,303.2458,303.2448,,9,,,5/2,7/2,,
O,2,,303.2494,,,,,7/2,7/2,,
O,3,,303.2615,,,4.26e+05,D,2,1,,
O,4,,303.359,,,7.05e+06,B,1/2,3/2,,
O,3,,303.4219,,,2.93e+07,B,1,1,,
O,3,,303.5414,,,4.59e+07,C+,1,1,,
O,3,,303.6159,,,4.24e+05,D,2,2,,
O,2,303.6402,303.6407,,7,,,5/2,7/2,,
O,2,303.9461,303.9450,,8*,,,3/2,5/2,,
O,2,303.9461,303.9458,,8*,,,5/2,7/2,,
O,2,,303.9596,,,,,5/2,5/2,,
O,4,,303.980,,,1.09e+07,B,1/2,3/2,,
O,2,,304.0036,,,,,7/2,7/2,,
O,4,,304.073,,,1.09e+07,B,1/2,1/2,,
O,3,,304.2636,,,3.44e+04,D,2,3,,
O,3,,304.2993,,,1.94e+08,C+,1,0,,
O,3,304.302,,,80,,,,,,
O,2,304.3991,304.3969,,2,,,5/2,7/2,,
O,3,,304.5434,,,6.73e+05,C,3,2,,
O,2,304.6693,304.6694,,4w,,,5/2,7/2,,
O,4,,304.710,,,4.01e+05,B,1/2,3/2,,
O,2,304.7115,304.7119,,13bl,,,7/2,5/2,,
O,3,304.713,304.7100,,200,1.49e+08,C+,2,2,,
O,4,,305.109,,,1.60e+06,B,1/2,1/2,,
O,3,,305.1951,,,2.39e+05,D,3,3,,
O,4,,305.253,,,5.15e+07,B,3/2,1/2,,
O,4,,305.788,,,1.98e+06,B,3/2,3/2,,
O,5,,305.868,,,1.39e+08,B,1,2,,
O,2,305.9293,305.9284,,10bl,,,7/2,5/2,,
O,3,305.930,305.9277,,110,8.72e+07,C+,2,1,,
O,4,,306.190,,,7.90e+05,B,3/2,1/2,,
O,4,306.342,306.343,,460,1.30e+08,B,1/2,3/2,,
O,3,,306.3850,,,9.10e+05,C,4,3,,
O,3,,306.4975,,,2.17e+07,C+,0,1,,
O,3,,306.8129,,,6.49e+07,C+,1,0,,
O,3,,306.8256,,,5.41e+06,C+,1,1,,
O,3,,306.8667,,,2.27e+07,C+,1,2,,
O,4,307.161,307.160,,410,1.29e+08,B,1/2,1/2,,
O,3,,307.4138,,,1.84e+07,C+,2,3,,
O,3,,307.4715,,,3.76e+07,C+,2,1,,
O,3,,307.5129,,,1.61e+07,C+,2,2,,
O,3,,307.5954,,,1.07e+07,C+,3,4,,
O,3,,307.813,,,2.89e+07,B,2,3,,
O,5,,307.895,,,3.81e+08,B,2,3,,
O,2,308.1391,308.1389,,9,,,3/2,1/2,,
O,3,,308.3647,,,3.20e+07,C+,3,3,,
O,3,,308.4644,,,2.55e+07,C+,3,2,,
O,3,,308.8041,,,5.30e+07,C+,4,4,,
O,2,309.0376,309.0386,,10,,,1/2,3/2,,
O,2,309.1536,309.1533,,8,,,3/2,5/2,,
O,3,,309.5795,,,1.35e+07,C+,4,3,,
O,2,309.7477,309.7471,,9,,,1/2,1/2,,
O,2,310.2588,310.2599,,3,,,1/2,3/2,,
O,2,310.4049,310.4056,,8,,,3/2,5/2,,
O,2,310.7846,310.7846,,3w,,,3/2,5/2,,
O,2,311.3611,311.3617,,11,3.14e+06,C,3/2,5/2,,
O,3,,311.5674,,,1.39e+08,C,1,0,,
O,3,312.171,312.1633,,80,1.38e+08,C,1,1,,
O,2,312.2521,312.2524,,17,2.80e+07,C,5/2,5/2,,
O,2,312.3921,312.3910,,13,7.76e+06,C,1/2,3/2,,
O,4,,312.889,,,5.35e+06,B,1/2,3/2,,
O,2,312.9334,312.9340,,17,4.94e+07,C,3/2,3/2,,
O,4,,313.104,,,2.13e+07,B,1/2,1/2,,
O,3,313.286,313.2794,,110,1.37e+08,C,1,2,,
O,2,313.4218,313.4213,,17,7.68e+07,C,1/2,1/2,,
O,2,313.4720,313.4726,,22,1.23e+08,C,7/2,5/2,,
O,4,,313.507,,,2.66e+07,B,3/2,3/2,,
O,4,,313.723,,,1.06e+07,B,3/2,1/2,,
O,2,313.8335,313.8337,,19,9.64e+07,C,5/2,3/2,,
O,2,313.9680,313.9678,,17,7.64e+07,C,3/2,1/2,,
O,4,,314.167,,,1.94e+07,B,3/2,3/2,,
O,4,,314.305,,,2.15e+06,B,5/2,3/2,,
O,5,314.466,314.466,,160,8.86e+07,B,1,2,,
O,2,314.7827,314.7842,,3,,,1/2,3/2,,
O,4,,315.314,,,9.87e+06,B,3/2,1/2,,
O,2,315.5906,315.5914,,1w,,,1/2,1/2,,
O,5,,315.611,,,4.16e+08,C+,4,5,,
O,2,316.7571,316.7577,,9,,,3/2,5/2,,
O,5,,316.810,,,3.87e+08,C+,3,4,,
O,4,,316.822,,,9.73e+05,B,3/2,3/2,,
O,5,,316.832,,,2.58e+07,C+,4,4,,
O,2,316.8634,316.8628,,13,,,5/2,7/2,,
O,2,316.9865,316.9887,,7*,,,5/2,5/2,,
O,2,316.9865,316.9893,,7*,,,5/2,7/2,,
O,5,,317.231,,,3.79e+08,C+,2,3,,
O,5,,317.240,,,3.31e+07,C+,3,3,,
O,5,,317.262,,,5.04e+05,C+,4,3,,
O,5,,317.687,,,4.12e+08,B,3,4,,
O,4,,317.789,,,7.59e+06,B,1/2,3/2,,
O,4,,318.077,,,1.51e+07,B,1/2,1/2,,
O,4,,318.099,,,7.06e+06,B,3/2,5/2,,
O,4,,318.574,,,1.21e+07,B,3/2,3/2,,
O,2,318.7369,318.7371,,4w,,,3/2,5/2,,
O,4,,318.822,,,4.28e+06,B,5/2,7/2,,
O,4,,318.864,,,1.50e+07,B,3/2,1/2,,
O,2,319.2358,319.2365,,3,,,3/2,5/2,,
O,2,319.3061,319.3075,,3,,,5/2,7/2,,
O,4,,319.409,,,8.54e+06,B,5/2,3/2,,
O,4,,319.478,,,1.71e+07,B,5/2,5/2,,
O,2,319.7646,319.7659,,1w,,,5/2,5/2,,
O,3,,319.8181,,,9.57e+06,C+,1,2,,
O,4,,319.958,,,1.04e+07,B,5/2,3/2,,
O,2,320.0688,320.0683,,3,,,3/2,5/2,,
O,3,,320.1139,,,4.77e+07,C+,1,1,,
O,3,,320.2514,,,7.08e+06,C+,2,3,,
O,3,,320.7609,,,4.40e+07,C+,2,2,,
O,4,,320.873,,,1.75e+07,B,1/2,3/2,,
O,4,320.966,320.965,,160,2.53e+07,B,7/2,7/2,,
O,4,,320.976,,,8.75e+07,B,3/2,3/2,,
O,3,,321.0585,,,1.58e+07,C+,2,1,,
O,4,,321.523,,,6.96e+07,B,1/2,1/2,,
O,2,321.5877,321.5866,,10,,,3/2,5/2,,
O,3,,321.6074,,,5.58e+07,C+,3,3,,
O,4,,321.626,,,3.48e+07,B,3/2,1/2,,
O,4,,321.631,,,5.56e+06,B,7/2,5/2,,
O,2,321.6618,321.6620,,11,,,5/2,5/2,,
O,2,321.7915,321.7925,,12,,,7/2,5/2,,
O,5,,321.924,,,1.54e+07,B,1,0,,
O,3,,322.1213,,,9.75e+06,C+,3,2,,
O,5,,322.229,,,1.16e+07,B,0,1,,
O,5,,322.754,,,3.38e+06,B,1,1,,
O,4,,323.332,,,8.67e+05,B,3/2,3/2,,
O,4,,323.636,,,6.41e+04,C+,3/2,5/2,,
O,3,,323.641,,,1.99e+07,B,2,2,,
O,3,323.857,,,80,,,,,,
O,5,,323.921,,,3.28e+07,B,1,1,,
O,5,,324.261,,,1.08e+05,C+,1,2,,
O,5,,324.828,,,1.18e+07,B,2,1,,
O,4,,325.173,,,1.01e+07,B,1/2,1/2,,
O,4,,325.650,,,9.43e+04,C+,5/2,3/2,,
O,4,,325.681,,,5.03e+07,B,3/2,1/2,,
O,3,,325.7087,,,3.25e+07,C+,0,1,,
O,4,,325.830,,,2.51e+07,B,1/2,3/2,,
O,4,,325.958,,,8.78e+05,B,5/2,5/2,,
O,3,326.098,326.0857,,200,1.68e+08,C+,2,3,,
O,4,,326.341,,,8.00e+06,B,3/2,3/2,,
O,5,,326.354,,,1.86e+06,B,2,2,,
O,3,326.546,326.5329,,300,1.88e+08,C+,3,4,,
O,3,,326.5693,,,9.68e+07,C+,1,0,,
O,3,326.731,326.7204,,80,1.58e+08,C+,1,2,,
O,3,,326.7729,,,2.42e+07,C+,1,1,,
O,3,,326.8949,,,2.41e+07,C+,1,2,,
O,2,327.0855,327.0856,,16,1.05e+08,C,5/2,3/2,,
O,2,,327.0905,,,5.00e+06,C,5/2,5/2,,
O,2,327.3437,327.3434,,17,9.99e+07,C,7/2,5/2,,
O,4,,327.399,,,1.78e+07,B,3/2,5/2,,
O,4,,327.548,,,2.35e+06,C+,3/2,5/2,,
O,2,327.5622,327.5612,,1,,,5/2,5/2,,
O,5,,327.564,,,4.76e+07,B,2,1,,
O,4,,327.581,,,2.67e+07,B,5/2,3/2,,
O,2,327.7566,327.7561,,17,2.02e+07,B,3/2,5/2,,
O,3,,328.1831,,,2.89e+07,C+,2,2,,
O,2,,328.19936,,,1.16e+06,C,1/2,3/2,,
O,3,,328.4450,,,2.06e+07,C+,3,3,,
O,2,328.5016,328.5016,,3w,,,1/2,3/2,,
O,3,,328.6414,,,3.96e+07,C+,2,1,,
O,4,,328.647,,,4.11e+07,B,5/2,5/2,,
O,2,328.7472,328.7471,,21,4.92e+07,B,5/2,5/2,,
O,3,,328.7647,,,7.12e+07,C+,2,2,,
O,2,328.9981,328.9982,,17,,,1/2,3/2,,
O,2,329.4992,329.4987,,14,1.00e+07,B,3/2,3/2,,
O,5,,329.762,,,1.30e+07,B,3,2,,
O,1,,329.89896,,,1.43e+05,D,1,0,,
O,3,,329.9385,,,1.64e+07,C+,0,1,,
O,1,,329.95525,,,3.57e+04,D,1,1,,
O,1,,329.95613,,,5.95e+04,C,2,1,,
O,1,,329.95896,,,4.76e+04,D,0,1,,
O,1,,330.05748,,,3.57e+04,C,1,2,,
O,1,,330.05836,,,1.07e+05,C,2,2,,
O,2,330.1407,330.1411,,10,1.06e+07,B,1/2,1/2,,
O,4,,330.192,,,2.46e+06,C+,5/2,7/2,,
O,4,,330.313,,,1.64e+05,C,5/2,5/2,,
O,2,330.5005,330.5003,,17,2.89e+07,B,5/2,3/2,,
O,3,,330.5729,,,7.98e+05,C+,3,2,,
O,2,330.6449,330.6451,,17,5.55e+07,B,3/2,1/2,,
O,3,331.230,331.2329,,80,4.60e+07,C+,1,1,,
O,3,,332.6055,,,2.65e+07,C+,1,1,,
O,1,,332.621,,,2.17e+05,C,1,1,,
O,1,,332.622,,,3.64e+05,C+,2,1,,
O,1,,332.624,,,7.22e+04,C,0,1,,
O,1,,332.993,,,1.10e+04,D,1,1,,
O,1,,332.997,,,1.45e+04,D,0,1,,
O,3,,333.0301,,,6.81e+07,C+,1,2,,
O,3,,333.0319,,,4.76e+07,C+,1,2,,
O,1,,333.054,,,2.01e+04,D,1,2,,
O,1,,333.055,,,6.72e+03,D,2,2,,
O,1,,333.113,,,2.81e+04,D,2,3,,
O,3,,333.2406,,,7.92e+07,C+,2,1,,
O,3,,333.2928,,,5.04e+07,C+,2,3,,
O,3,,333.6668,,,3.76e+07,C+,1,1,,
O,3,,333.6686,,,8.77e+06,C+,2,2,,
O,3,334.074,334.0765,,110,6.57e+07,C+,2,1,,
O,3,,334.4197,,,1.25e+07,C+,2,2,,
O,3,,334.4510,,,3.48e+07,C+,2,3,,
O,3,,334.7980,,,4.86e+07,C+,3,2,,
O,4,334.808,334.806,,230,8.51e+07,B,1/2,3/2,,
O,4,334.911,334.911,,270,1.02e+08,B,3/2,5/2,,
O,3,,335.0617,,,1.12e+08,C+,2,1,,
O,3,,335.0921,,,9.91e+07,C+,3,3,,
O,2,,335.1310,,,,,5/2,7/2,,
O,4,335.427,335.427,,160,7.71e+07,B,3/2,1/2,,
O,3,,335.5858,,,6.89e+07,C+,3,3,,
O,2,336.0105,336.0083,,3,,,7/2,7/2,,
O,2,336.0279,336.0281,,2,,,3/2,1/2,,
O,2,,336.0616,,,,,3/2,5/2,,
O,3,,336.2312,,,6.87e+07,C+,3,2,,
O,4,,336.255,,,7.65e+07,B,3/2,3/2,,
O,4,,336.321,,,3.99e+07,B,1/2,3/2,,
O,4,,336.638,,,2.86e+07,B,3/2,5/2,,
O,2,336.6706,336.6723,,1w,,,5/2,5/2,,
O,4,,336.865,,,1.59e+07,B,1/2,1/2,,
O,2,337.0279,337.0293,,6,,,3/2,3/2,,
O,2,337.1683,337.1674,,9,,,9/2,7/2,,
O,2,337.4077,337.4066,,1,,,3/2,5/2,,
O,2,337.4899,337.4892,,1,,,3/2,3/2,,
O,4,337.540,337.540,,200,7.56e+07,B,3/2,5/2,,
O,2,337.5582,337.5577,,3,,,7/2,5/2,,
O,2,337.5606,337.5603,,2,,,3/2,1/2,,
O,2,337.6436,337.6435,,3,,,5/2,3/2,,
O,3,,337.6612,,,1.49e+08,C+,1,0,,
O,3,,337.6765,,,1.12e+08,C+,1,1,,
O,2,337.7146,337.7146,,21,1.33e+08,C+,1/2,1/2,,
O,3,,337.7264,,,5.20e+07,C+,1,2,,
O,4,337.806,337.802,,130,1.66e+07,B,3/2,3/2,,
O,4,,337.958,,,1.26e+07,B,3/2,3/2,,
O,4,338.120,338.121,,360,7.19e+07,B,3/2,5/2,,
O,4,,338.130,,,4.28e+07,B,1/2,3/2,,
O,3,,338.2612,,,9.86e+07,C+,2,3,,
O,3,,338.3311,,,3.70e+07,C+,2,1,,
O,3,,338.3812,,,8.62e+07,C+,2,2,,
O,3,,338.4901,,,1.48e+08,C+,3,4,,
O,4,,338.507,,,7.82e+07,B,3/2,1/2,,
O,4,338.552,338.552,,360,1.02e+08,B,5/2,7/2,,
O,4,,339.019,,,8.49e+07,B,1/2,1/2,,
O,2,339.0209,339.0209,,23,1.31e+08,C+,1/2,3/2,,
O,4,,339.058,,,6.54e+07,B,5/2,5/2,,
O,3,,339.4220,,,4.88e+07,C+,3,3,,
O,3,,339.5428,,,9.75e+06,C+,3,2,,
O,4,339.679,339.680,,270,5.40e+07,B,3/2,3/2,,
O,4,340.352,340.355,,360,8.52e+07,B,1/2,3/2,,
O,4,,340.397,,,4.15e+07,B,5/2,3/2,,
O,3,,340.5718,,,1.93e+07,C+,0,1,,
O,4,,340.577,,,1.67e+07,B,3/2,1/2,,
O,2,,340.7223,,,1.09e+07,C,5/2,3/2,,
O,2,340.7273,340.7276,,17,1.02e+08,C,5/2,5/2,,
O,3,,340.8131,,,5.79e+07,C+,1,0,,
O,4,340.966,340.970,,230,3.00e+07,B,5/2,5/2,,
O,2,340.9710,340.9706,,16,9.77e+07,C,3/2,3/2,,
O,2,,340.9760,,,7.24e+06,C,3/2,5/2,,
O,4,,341.094,,,5.26e+05,B,7/2,5/2,,
O,4,,341.024,,,2.63e+04,C+,5/2,5/2,,
O,4,341.169,341.169,,410,1.02e+08,B,3/2,5/2,,
O,4,,341.187,,,5.51e+05,B,5/2,3/2,,
O,4,341.364,341.363,,230,1.69e+07,B,3/2,3/2,,
O,3,,341.5262,,,1.44e+07,C+,1,1,,
O,2,341.9841,341.9849,,6,,,1/2,1/2,,
O,2,342.0571,342.0570,,7,,,3/2,1/2,,
O,3,,342.3364,,,3.62e+07,C+,0,1,,
O,4,,342.555,,,4.94e+06,B,5/2,3/2,,
O,3,,342.7364,,,4.87e+07,C+,1,2,,
O,2,342.8509,342.8509,,2,,,5/2,3/2,,
O,3,,342.8626,,,1.42e+07,C+,1,2,,
O,3,,343.0568,,,2.37e+07,C+,2,1,,
O,3,,343.5123,,,2.69e+07,C+,1,1,,
O,2,343.7144,343.7141,,8,,,3/2,3/2,,
O,2,,343.8556,,,4.93e+05,D,5/2,5/2,,
O,3,,344.0363,,,6.42e+07,C+,2,3,,
O,3,344.410,344.4052,,80,4.21e+07,C+,2,2,,
O,2,,344.5023,,,,,1/2,3/2,,
O,3,,344.6682,,,9.71e+07,C+,1,2,,
O,3,,344.7155,,,8.09e+07,C+,0,1,,
O,2,344.7861,344.7855,,15bl,,,3/2,3/2,,
O,3,,344.7924,,,1.60e+07,C+,2,2,,
O,3,,344.7968,,,1.19e+08,C+,2,3,,
O,3,,345.0907,,,1.44e+08,C+,3,4,,
O,3,,345.1305,,,8.06e+07,C+,1,1,,
O,2,345.3094,345.3100,,4,,,5/2,3/2,,
O,2,345.4736,345.4731,,6,,,3/2,3/2,,
O,3,,345.4835,,,6.89e+07,C+,2,2,,
O,2,345.5085,345.50754,,9bl,,,1/2,1/2,,
O,3,345.512,345.4986,,80,1.72e+08,C+,4,5,,
O,3,,345.5776,,,1.76e+06,C+,2,1,,
O,2,345.7920,345.7933,,10,9.69e+06,D,7/2,5/2,,
O,2,345.8936,345.8923,,8,1.02e+07,D,5/2,3/2,,
O,3,,345.9480,,,1.14e+07,C+,2,1,,
O,3,,345.9935,,,5.14e+07,C+,3,3,,
O,2,345.9988,346.0019,,8,,,5/2,5/2,,
O,3,,346.6128,,,2.84e+07,C+,4,4,,
O,3,,346.6850,,,6.82e+06,C+,3,2,,
O,2,346.8421,346.8403,,4,,,1/2,3/2,,
O,2,,346.8811,,,,,3/2,5/2,,
O,2,347.0281,347.0277,,20,1.09e+08,B,3/2,1/2,,
O,2,347.0676,347.0672,,21,8.63e+07,B,5/2,3/2,,
O,2,,347.07832,,,3.43e+05,C,1/2,3/2,,
O,2,347.1402,347.1401,,6,,,5/2,3/2,,
O,2,347.4926,347.49260,,5,7.19e+05,C,1/2,1/2,,
O,3,,347.5236,,,2.42e+06,C+,4,3,,
O,2,347.8219,347.8205,,3,,,1/2,1/2,,
O,2,,348.0250,,,,,3/2,3/2,,
O,2,,348.1156,,,,,5/2,7/2,,
O,2,,348.5932,,,,,3/2,1/2,,
O,2,348.8173,348.81604,,4,3.56e+05,C,1/2,1/2,,
O,2,348.8258,348.8273,,6,2.04e+05,D,5/2,3/2,,
O,2,,348.8332,,,,,1/2,3/2,,
O,4,348.983,348.989,,200,7.29e+07,B,3/2,5/2,,
O,2,,349.0876,,,2.26e+04,E,3/2,3/2,,
O,4,349.224,349.221,,160,6.06e+07,B,1/2,3/2,,
O,4,,349.343,,,1.21e+07,B,3/2,3/2,,
O,2,,349.4040,,,,,1/2,1/2,,
O,2,,349.4277,,,,,3/2,5/2,,
O,2,349.4490,349.4470,,6,,,5/2,5/2,,
O,2,349.5235,349.5234,,8,,,7/2,5/2,,
O,2,349.6276,349.62783,,8,5.69e+05,C,1/2,3/2,,
O,2,349.7771,349.7790,,3,,,5/2,5/2,,
O,2,350.1669,350.1668,,4,,,1/2,3/2,,
O,4,,350.167,,,2.60e+06,B,1/2,1/2,,
O,4,,350.445,,,1.28e+06,B,3/2,5/2,,
O,2,350.5839,350.5885,,6,,,3/2,3/2,,
O,2,,350.6080,,,,,5/2,3/2,,
O,2,,350.6774,,,,,3/2,5/2,,
O,2,350.7416,350.7421,,3,,,1/2,1/2,,
O,4,,350.801,,,1.78e+07,B,5/2,5/2,,
O,2,,350.8274,,,,,5/2,3/2,,
O,4,,350.863,,,1.72e+07,B,3/2,3/2,,
O,2,351.1655,351.1651,,5,,,3/2,1/2,,
O,4,,351.221,,,1.90e+06,B,5/2,3/2,,
O,2,351.4823,351.4821,,2,2.22e+05,D,3/2,1/2,,
O,2,,351.5242,,,1.25e+05,D,3/2,5/2,,
O,2,351.6027,351.6031,,3,,,5/2,7/2,,
