element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,2,,218.6338,,,9.17e+04,C,5/2,5/2,,
O,3,,218.7016,,,7.85e+05,C,2,2,,
O,3,,218.9045,,,1.04e+06,C,1,0,,
O,2,219.0481,219.0469,,4,1.13e+07,C,3/2,3/2,,
O,3,,219.1985,,,2.60e+05,C,1,1,,
O,2,219.5464,219.5482,,3,1.13e+07,C,3/2,1/2,,
O,2,,219.5880,,,8.36e+04,C,3/2,3/2,,
O,3,,219.6537,,,3.45e+05,C,0,1,,
O,3,,219.7483,,,2.58e+05,C,1,2,,
O,2,221.5701,221.5713,,1,1.15e+06,D,1/2,3/2,,
O,2,,221.8651,,,2.30e+05,E,3/2,3/2,,
O,2,221.8679,221.8674,,1,1.38e+06,D,3/2,5/2,,
O,2,,222.247,,,3.06e+06,D,5/2,5/2,,
O,2,,222.307,,,3.27e+05,E,5/2,3/2,,
O,2,,222.353,,,2.18e+05,E,3/2,5/2,,
O,2,,222.412,,,2.94e+06,D,3/2,3/2,,
O,3,,222.8160,,,6.47e+07,B,0,1,,
O,3,,222.892,,,1.75e+07,C+,0,1,,
O,2,,222.974,,,6.36e+06,D,5/2,7/2,,
O,2,,223.177,,,4.23e+05,E,5/2,5/2,,
O,2,,223.283,,,5.91e+06,D,3/2,5/2,,
O,3,,223.336,,,2.35e+07,C+,1,2,,
O,3,,223.336,,,1.31e+07,C+,1,1,,
O,3,,223.877,,,3.12e+07,C+,2,3,,
O,3,,223.877,,,7.79e+06,C+,2,2,,
O,3,,223.877,,,8.66e+05,C,2,1,,
O,4,,224.312,,,1.49e+07,B,5/2,3/2,,
O,4,,224.458,,,1.65e+07,B,3/2,1/2,,
O,4,,224.458,,,1.65e+06,B,3/2,3/2,,
O,2,224.9719,224.9708,,1,3.59e+06,D,1/2,3/2,,
O,2,225.2746,225.2738,,7,1.79e+07,D,3/2,3/2,,
O,2,225.9625,225.9630,,3,1.42e+07,D,1/2,1/2,,
O,2,226.2685,226.2686,,1,7.06e+06,D,3/2,1/2,,
O,4,,227.518,,,3.45e+05,C+,5/2,3/2,,
O,4,,227.886,,,6.36e+05,C+,3/2,1/2,,
O,4,,227.964,,,7.38e+06,B,3/2,5/2,,
O,4,,228.032,,,5.33e+05,B,5/2,5/2,,
O,4,,228.058,,,6.15e+06,B,1/2,3/2,,
O,4,,228.209,,,1.01e+05,C,3/2,3/2,,
O,4,,228.235,,,1.27e+05,C,1/2,1/2,,
O,2,228.3447,228.3444,,8,7.19e+06,D,3/2,5/2,,
O,3,,228.377,,,1.62e+07,C+,2,2,,
O,4,,228.386,,,1.22e+06,B,3/2,3/2,,
O,2,228.4836,228.4833,,9,7.69e+06,D,5/2,7/2,,
O,4,,228.558,,,3.15e+05,C+,1/2,3/2,,
O,3,,228.6332,,,6.42e+05,D,0,1,,
O,4,,228.726,,,2.26e+05,C+,3/2,5/2,,
O,1,,228.854,,,1.35e+05,D,1,2,,
O,1,,228.854,,,2.48e+04,D,1,1,,
O,1,,228.855,,,1.67e+05,D,2,3,,
O,1,,228.856,,,8.29e+04,D,0,1,,
O,3,,228.9200,,,1.92e+06,D,1,0,,
O,2,229.0839,229.0846,,14,7.41e+06,C,1/2,3/2,,
O,3,,229.2030,,,4.78e+05,D,1,1,,
O,3,,229.3267,,,1.73e+06,C,2,3,,
