element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,2,,,229.1660,,,2.09e+06,C+,,
N,2,,,229.2657,,,3.03e+07,C+,,
N,2,,,229.3320,,,1.26e+07,C+,,
N,2,,,229.3534,,,3.66e+05,C,,
N,3,,,230.161,,,2.55e+07,B,,
N,3,,,230.289,,,2.55e+07,B,,
N,3,,,230.549,,,2.54e+07,B,,
N,3,,,231.460,,,7.03e+06,B,,
N,5,,,231.623,,,4.99e+07,B,,
N,2,231.649,,231.6489,,220,1.75e+07,C+,,
N,2,231.669,,231.6680,,160,1.65e+07,C+,,
N,2,231.705,,231.7039,,285,1.97e+07,C+,,
N,5,,,231.706,,,4.15e+07,B,,
N,3,,,231.744,,,4.50e+06,B,,
N,3,,,231.754,,,3.00e+06,B,,
N,5,,,231.757,,,8.30e+06,B,,
N,4,231.809,,,,90w,,,,
N,2,,,231.9947,,,3.06e+06,C+,,
N,3,,,232.038,,,1.33e+06,B,,
N,2,,,232.1664,,,2.18e+06,C+,,
N,3,,,232.226,,,4.14e+06,B,,
N,3,,,232.279,,,8.28e+06,B,,
N,3,,,232.406,,,4.74e+05,B,,
N,3,,,232.460,,,7.76e+05,B,,
N,3,,,232.468,,,1.65e+06,B,,
N,2,,,232.5137,,,8.57e+04,D,,
N,3,,,232.556,,,8.30e+05,B,,
N,2,,,232.6340,,,1.83e+07,B,,
N,3,,,232.758,,,1.66e+06,B,,
N,3,,,232.790,,,1.90e+06,B,,
N,3,,,232.801,,,1.32e+06,B,,
N,3,,,232.885,,,2.84e+06,B,,
N,3,,,233.004,,,1.65e+06,B,,
N,3,,,233.133,,,1.15e+06,B,,
N,3,,,233.271,,,6.25e+05,B,,
N,3,,,233.354,,,4.30e+07,B,,
N,3,,,233.490,,,5.15e+07,B,,
N,3,,,233.490,,,8.59e+06,B,,
N,3,,,234.851,,,3.31e+06,B,,
N,3,,,234.984,,,8.27e+06,B,,
N,3,,,235.098,,,1.65e+07,B,,
N,3,,,235.231,,,2.64e+06,B,,
N,3,,,235.255,,,1.18e+07,B,,
N,3,,,235.255,,,2.36e+07,B,,
N,3,,,235.503,,,1.97e+07,B,,
N,3,,,235.503,,,1.50e+07,B,,
N,3,,,235.503,,,4.70e+06,B,,
N,3,,,235.503,,,5.91e+06,B,,
N,3,,,235.524,,,8.87e+06,B,,
N,3,,,235.796,,,2.81e+07,B,,
N,3,,,235.796,,,8.43e+06,B,,
N,3,,,235.796,,,1.40e+06,B,,
N,3,,,235.796,,,1.37e+07,B,,
N,3,,,236.749,,,9.12e+07,B,,
N,5,,,236.817,,,1.87e+07,B,,
N,5,,,236.870,,,3.74e+07,B,,
N,3,,,237.056,,,6.06e+07,B,,
N,3,,,237.253,,,3.02e+07,B,,
N,5,,,237.260,,,1.57e+06,B,,
N,5,,,237.272,,,1.42e+07,B,,
N,5,,,237.276,,,1.57e+07,B,,
N,2,,,238.6805,,,3.30e+06,C,,
N,2,,,238.8232,,,3.29e+06,C+,,
N,2,,,239.0869,,,3.28e+06,C+,,
N,3,,,239.283,,,1.64e+06,C+,,
N,3,,,239.283,,,7.79e+04,C,,
N,3,,,239.289,,,1.56e+06,C+,,
N,3,,,239.851,,,2.12e+06,B,,
N,4,,,240.205,,,1.56e+08,B,,
N,3,,,240.260,,,2.11e+06,B,,
N,3,,,241.807,,,6.86e+06,C+,,
N,4,,,242.165,,,1.13e+08,B,,
N,4,,,242.173,,,2.82e+07,B,,
N,4,,,242.173,,,3.14e+06,B,,
N,3,,,242.327,,,7.30e+06,C+,,
N,3,,,242.327,,,4.87e+05,C,,
N,4,,,242.473,,,8.44e+07,B,,
N,4,,,242.473,,,4.69e+07,B,,
N,4,,,242.654,,,6.24e+07,B,,
N,4,,,243.040,,,2.15e+08,B,,
N,4,,,243.108,,,1.29e+08,B,,
N,4,,,243.155,,,4.29e+07,B,,
N,3,,,244.297,,,1.03e+02,D,,
N,3,,,244.956,,,3.69e+02,D,,
N,3,,,245.395,,,1.21e+07,B,,
N,3,,,245.929,,,3.60e+06,B,,
N,2,246.127,,246.1270,,160,4.11e+07,B,,
N,3,,,246.260,,,8.37e+06,B,,
N,3,,,246.299,,,5.98e+05,B,,
N,3,,,246.631,,,6.35e+06,B,,
N,3,,,246.844,,,4.95e+06,B,,
N,3,,,246.907,,,1.98e+06,B,,
N,3,,,246.997,,,1.38e+07,B,,
N,3,,,247.108,,,9.65e+06,B,,
N,3,,,247.121,,,9.87e+06,B,,
N,3,,,247.220,,,5.74e+06,B,,
N,3,,,247.431,,,4.12e+06,B,,
N,3,,,247.449,,,1.14e+07,B,,
N,3,,,247.494,,,7.32e+06,B,,
N,3,,,247.723,,,2.28e+06,B,,
N,4,247.769,,247.769,,150,5.96e+08,B,,
N,3,,,247.818,,,6.83e+05,B,,
N,3,,,248.282,,,1.04e+07,B,,
N,3,,,248.456,,,9.32e+07,B,,
N,3,,,248.643,,,1.03e+08,B,,
N,2,,,248.8123,,,3.33e+06,C+,,
N,2,,,248.8758,,,9.97e+06,C+,,
