element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ag,2,232.433945,0.000022,232.433966,0.000012,5400,3.5e+07,D+,4,4,,
Ag,2,232.466685,0.000016,232.466678,0.000009,240000,8.4e+07,B+,3,3,,
Ag,2,232.494655,0.000016,232.494655,0.000016,270000,7.1e+08,C,4,5,,
Ag,2,233.136632,0.000016,233.136629,0.000008,330000,2.51e+08,B,2,1,,
Ag,2,234.364027,0.000022,234.364032,0.000010,14000,,,3,2,,
Ag,2,235.791689,0.000017,235.791680,0.000010,170000,2.96e+08,A,1,0,,
Ag,2,235.875114,0.000017,235.875114,0.000017,260000,6.7e+08,C,3,4,,
Ag,2,236.207463,0.000017,236.207464,0.000009,67000,2.63e+08,B+,2,2,,
Ag,2,236.388377,0.000017,236.388381,0.000010,100000,3.7e+08,C,2,3,,
Ag,2,236.557671,0.000017,236.557671,0.000009,100000,3.0e+08,C,1,2,,
Ag,2,237.03984,0.00004,237.03981,0.00004,9800,,,4,4,,
Ag,2,237.35695,0.00003,237.356965,0.000013,16000,3.7e+07,D+,3,3,,
Ag,1,237.502,,237.5023,0.0017,50w,,,5/2,7/2,,
Ag,2,237.960,0.005,237.963907,0.000009,2800,9.e+05,E,2,3,,
Ag,2,238.310087,0.000023,238.310093,0.000014,14000,8.e+07,D+,1,1,,
Ag,2,238.620459,0.000017,238.620456,0.000009,32000,,,1,2,,
Ag,3,238.685,,,,100,,,,,,
Ag,2,239.042949,0.000017,239.042948,0.000009,310000,6.8e+07,D+,1,2,,
Ag,2,239.279686,0.000017,239.279697,0.000008,11000,2.50e+07,B,1,2,,
Ag,3,239.569,,,,300,,,,,,
Ag,2,240.244630,0.000017,240.244634,0.000010,31000,3.6e+08,C,1,1,,
Ag,2,240.487583,0.000017,240.487569,0.000010,15000,1.1e+08,D+,2,1,,
Ag,2,240.885401,0.000017,240.885395,0.000008,5900,1.7e+07,C+,1,1,,
Ag,2,241.134527,0.000017,241.134524,0.000008,180000,9.6e+07,B+,1,2,,
Ag,2,241.149494,0.000017,241.149491,0.000010,91000,2.5e+08,C,1,2,,
Ag,2,241.318810,0.000017,241.318805,0.000008,470000,2.10e+08,B+,2,3,,
Ag,2,241.995667,0.000018,241.995662,0.000011,540000,4.6e+08,C,2,3,,
Ag,2,242.246274,0.000018,242.246271,0.000009,41000,5.2e+07,D+,2,2,,
Ag,2,242.808389,0.000018,242.808393,0.000011,30000,,,1,1,,
Ag,2,242.951289,0.000018,242.951294,0.000013,190000,4.0e+08,B+,3,4,,
Ag,2,243.647567,0.000024,243.647576,0.000010,12000,,,3,3,,
Ag,2,243.778299,0.000018,243.778303,0.000009,450000,2.90e+08,B,3,2,,
Ag,2,244.409896,0.000018,244.409897,0.000010,140000,2.7e+08,C,2,2,,
Ag,2,244.621146,0.000018,244.621139,0.000011,22000,3.5e+07,D+,1,1,,
Ag,2,244.789606,0.000018,244.789600,0.000009,210000,9.2e+07,B+,2,2,,
Ag,2,245.321676,0.000018,245.321679,0.000009,110000,3.7e+08,B+,3,3,,
Ag,2,245.41636,0.00004,245.416376,0.000009,680,,,2,2,,
Ag,2,246.016512,0.000018,246.016505,0.000009,34000,1.18e+08,B+,2,2,,
Ag,2,246.11412,0.00003,246.114111,0.000011,5500,3.4e+07,D+,2,1,,
Ag,2,246.212773,0.000018,246.212763,0.000011,35000,8.e+07,D+,2,3,,
Ag,3,246.962,,,,100,,,,,,
Ag,2,247.279642,0.000024,247.279659,0.000012,9700,2.3e+08,D+,1,1,,
Ag,2,247.379016,0.000018,247.379016,0.000009,140000,4.98e+07,A,2,3,,
Ag,2,247.609,0.005,247.608744,0.000019,3600,,,2,1,,
Ag,2,247.661,0.005,247.666649,0.000014,7200,2.2e+07,D+,2,3,,
Ag,2,247.712768,0.000018,247.712763,0.000009,100000,1.4e+08,C,2,3,,
Ag,2,247.92251,0.00004,247.922422,0.000010,1900,3.0e+06,E,2,3,,
Ag,2,248.028243,0.000018,248.028243,0.000011,29000,1.6e+08,C,3,2,,
Ag,2,248.565135,0.000025,248.565135,0.000013,9300,2.8e+07,D+,3,4,,
Ag,2,248.655629,0.000019,248.655645,0.000009,5700,1.60e+07,C+,2,2,,
Ag,2,250.390077,0.000019,250.390081,0.000010,17000,9.2e+07,B,2,1,,
Ag,2,250.659265,0.000019,250.659265,0.000009,50000,2.13e+07,B,1,1,,
Ag,2,250.66289,0.00003,250.662912,0.000010,5300,4.6e+07,D+,2,1,,
Ag,2,250.691,0.004,250.686992,0.000012,290,,,2,2,,
Ag,2,250.70909,0.00003,250.709088,0.000012,12000,9.e+07,D+,2,1,,
Ag,2,253.04869,0.00005,253.04865,0.00004,4300,,,3,2,,
Ag,2,253.26045,0.00006,253.26044,0.00006,6300,,,3,3,,
Ag,2,253.507,0.004,253.507148,0.000019,390,,,0,1,,
Ag,2,253.530785,0.000019,253.530785,0.000009,19000,3.4e+06,E,2,2,,
Ag,2,255.34021,0.00007,255.340179,0.000009,2800,7.e+05,E,2,2,,
Ag,2,255.748774,0.000020,255.748780,0.000020,66000,,,4,3,,
Ag,3,256.287,,,,100,,,,,,
Ag,2,256.423332,0.000020,256.423336,0.000012,12000,6.2e+07,C+,0,1,,
Ag,2,256.700519,0.000020,256.700514,0.000009,6400,2.5e+07,C+,3,2,,
Ag,1,257.563,,257.567,0.005,50w,,,3/2,5/2,,
Ag,2,258.057399,0.000020,258.057394,0.000010,80000,1.8e+08,C,3,2,,
