element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Fe,1,201.0248,0.00024,201.024852,0.000007,0d?,,,2,3,,
Fe,3,201.0381,0.0005,201.03843,0.00024,44000,,,4,5,,
Fe,2,201.069689,0.000011,201.069688,0.000010,60000,8.e+07,D+,9/2,7/2,,
Fe,3,201.0711,0.0015,201.07297,0.00016,59000,3.6e+07,D+,5,4,,
Fe,2,201.0826,0.0005,201.082145,0.000010,1100,,,9/2,7/2,,
Fe,2,201.09525,0.00009,201.095207,0.000010,2600,2.4e+06,D,9/2,9/2,,
Fe,2,201.10631,0.00010,201.106375,0.000011,2100,,,7/2,5/2,,
Fe,3,201.1278,0.0005,201.12698,0.00024,1600,,,1,1,,
Fe,2,201.1441,0.0005,201.144013,0.000010,290d,bl(Fe I)?,,,5/2,7/2,,
Fe,1,201.1441,0.00024,201.144199,0.000010,0d?,,,3,2,,
Fe,2,201.1539,0.0005,201.154882,0.000010,250bl,,,7/2,5/2,,
Fe,3,201.1544,0.0005,201.15455,0.00016,59000,1.9e+08,C,3,3,,
Fe,2,201.1665,0.0005,201.165861,0.000010,400d?,1.5e+06,D,5/2,7/2,,
Fe,3,201.1671,0.0005,201.16665,0.00016,43000,,,2,2,,
Fe,2,201.1703,0.0005,201.170009,0.000010,700d?,,,5/2,7/2,,
Fe,3,201.1889,0.0005,201.18949,0.00020,43000,9.e+07,D+,3,4,,
Fe,1,201.1926,0.00024,201.192517,0.000014,1,,,4,4,,
Fe,3,201.2021,0.0005,201.20229,0.00020,2200,,,2,2,,
Fe,2,201.2231,0.0005,201.222628,0.000010,2100d?,2.3e+06,D,5/2,5/2,,
Fe,3,201.2248,0.0005,201.22505,0.00020,18000,,,4,5,,
Fe,2,201.26157,0.00005,201.261565,0.000010,1200,,,3/2,5/2,,
Fe,3,201.2685,0.0005,201.26824,0.00016,59000,2.1e+08,C,2,3,,
Fe,2,201.2685,0.0005,201.268450,0.000010,260bl(Fe III),,,5/2,5/2,,
Fe,2,201.32604,0.00003,201.326022,0.000010,10000,2.7e+07,D+,1/2,1/2,,
Fe,1,201.3440,0.00024,201.344035,0.000017,0?,,,4,3,,
Fe,2,201.36632,0.00008,201.366323,0.000013,4000,2.7e+07,D+,1/2,1/2,,
Fe,2,201.4128,0.0005,201.412820,0.000017,1300bl(Fe II)*,,,1/2,3/2,,
Fe,2,201.4128,0.0005,201.413260,0.000010,1300bl(Fe II)*,,,5/2,3/2,,
Fe,3,,,201.4355,0.0004,,7.8e+00,D+,3,5,E2,
Fe,2,201.43699,0.00002,201.436985,0.000010,3000,1.4e+07,E,5/2,7/2,,
Fe,3,201.4421,0.0005,201.44222,0.00020,24000,2.2e+07,D,3,4,,
Fe,2,201.4477,0.0005,201.448117,0.000013,700d?,,,9/2,11/2,,
Fe,3,201.4523,0.0005,201.45192,0.00020,7100,,,4,4,,
Fe,2,201.4696,0.0005,201.469605,0.000013,600d?,,,7/2,7/2,,
Fe,3,201.4791,0.0005,201.4797,0.0003,24000,3.5e+07,D,0,1,,
Fe,2,201.4940,0.0005,201.492852,0.000010,400bl(Fe I),,,7/2,7/2,,
Fe,1,201.4940,0.00024,201.493677,0.000014,2,,,5,4,,
Fe,3,201.5069,0.0005,201.50732,0.00020,32000,1.5e+08,D+,1,2,,
Fe,2,201.5108,0.0005,201.510917,0.000010,330,,,9/2,7/2,,
Fe,2,201.52001,0.00013,201.520009,0.000011,400,4.5e+06,D,5/2,5/2,,
Fe,3,201.5210,0.0005,201.5213,0.0003,7100,3.8e+07,D,1,0,,
Fe,2,201.53546,0.00005,201.535340,0.000013,500,,,3/2,3/2,,
Fe,7,201.537,0.004,201.5360,0.0025,67,2.17e+01,B+,2,0,E2,
Fe,2,201.548729,0.000013,201.548736,0.000010,28000,2.3e+07,D+,3/2,5/2,,
Fe,3,201.5750,0.0005,201.57461,0.00016,1200,,,3,2,,
Fe,1,201.5782,0.00024,201.577951,0.000007,0,,,3,2,,
Fe,2,201.58517,0.00010,201.585208,0.000010,600,1.3e+06,D,7/2,9/2,,
Fe,2,201.60793,0.00004,201.607954,0.000010,9000,1.9e+07,D+,5/2,3/2,,
Fe,1,201.65087,0.00011,201.650746,0.000014,16,,,5,5,,
Fe,3,201.6713,0.0005,201.67096,0.00020,43000,7.5e+07,D+,5,6,,
Fe,2,201.6725,0.0005,201.67231,0.00004,400d?,,,7/2,9/2,,
Fe,2,201.67862,0.00011,201.678719,0.000011,400,,,5/2,3/2,,
Fe,2,201.7033,0.0005,201.702591,0.000010,1800,,,7/2,7/2,,
Fe,2,201.70940,0.00002,201.709408,0.000010,12000,1.5e+07,D+,1/2,3/2,,
Fe,1,201.7159,0.00024,201.715675,0.000006,0,,,4,4,,
Fe,3,201.7300,0.0005,201.72990,0.00020,43000,1.1e+08,D+,5,5,,
Fe,3,201.7625,0.0005,201.76256,0.00020,9600,,,3,4,,
Fe,2,201.78508,0.00009,201.785041,0.000010,5000,6.1e+06,D+,7/2,7/2,,
Fe,2,201.85476,0.00009,201.854728,0.000010,600,9.e+06,E,3/2,5/2,,
Fe,3,201.8576,0.0005,201.85766,0.00020,58000,1.8e+08,C,4,3,,
Fe,2,201.877742,0.000012,201.877724,0.000010,35000,2.6e+07,D+,9/2,11/2,,
Fe,2,201.8894,0.0005,201.889208,0.000011,280d?,,,5/2,3/2,,
Fe,1,201.9075,0.00024,201.907491,0.000010,0,,,4,3,,
Fe,2,201.9192,0.0005,201.918904,0.000010,700,,,9/2,9/2,,
Fe,1,201.9775,0.00024,201.977169,0.000014,1,,,4,3,,
Fe,2,201.9824,0.0005,201.982486,0.000011,2100d?,3.1e+06,D,3/2,3/2,,
Fe,2,202.0052,0.0005,202.004981,0.000010,800d?,,,5/2,3/2,,
Fe,1,202.0452,0.00025,202.045110,0.000007,0d?,,,1,2,,
Fe,2,202.07140,0.00007,202.071317,0.000010,700,,,7/2,5/2,,
Fe,2,202.075103,0.000011,202.075101,0.000010,40000,1.83e+07,C+,5/2,7/2,,
Fe,2,202.1074,0.0005,202.107588,0.000010,240d?,,,3/2,3/2,,
Fe,1,202.1099,0.00025,202.109610,0.000010,1,,,3,2,,
Fe,1,202.1443,0.00025,202.144153,0.000007,0,,,2,3,,
Fe,2,202.1580,0.0005,202.156835,0.000010,210d?,,,11/2,9/2,,
Fe,2,202.1664,0.0005,202.165467,0.000010,400d,bl(Fe II)?*,,,11/2,9/2,,
Fe,2,202.1664,0.0005,202.166992,0.000013,400d,bl(Fe II)?*,,,7/2,7/2,,
Fe,1,202.1714,0.00025,202.171294,0.000007,0d?,,,2,3,,
Fe,1,202.19829,0.00011,202.198254,0.000010,22,,,3,3,,
Fe,3,202.2037,0.0005,202.20394,0.00016,23000,3.0e+07,D,4,4,,
Fe,1,202.2415,0.00025,202.241207,0.000007,0?,,,2,2,,
Fe,1,202.2779,0.00025,202.277711,0.000007,1,,,3,4,,
Fe,1,202.3013,0.00025,202.301022,0.000014,0,,,2,1,,
Fe,2,202.3122,0.0005,202.311931,0.000010,1800,1.1e+06,D,5/2,7/2,,
Fe,3,202.3298,0.0005,202.32993,0.00020,57000,1.8e+08,C,5,4,,
Fe,2,202.3301,0.0005,202.329339,0.000010,190bl(Fe III),,,3/2,5/2,,
Fe,3,202.3522,0.0005,202.35119,0.00020,1200,,,4,5,,
Fe,2,202.37049,0.00012,202.370516,0.000021,4000,1.7e+07,D,3/2,1/2,,
Fe,3,202.3815,0.0005,202.38204,0.00020,9500,,,4,5,,
Fe,1,202.4067,0.0010,202.407678,0.000007,1,,,3,3,,
