element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Cr,2,203.0978,0.0002,203.09780,0.00008,7,,,5/2,7/2,,
Cr,1,203.127,0.005,203.12741,0.00003,15,,,2,3,,
Cr,2,203.16531,0.00009,203.165347,0.000009,13*,,,5/2,5/2,,
Cr,2,203.16531,0.00009,203.165452,0.000009,13*,,,3/2,3/2,,
Cr,2,203.22383,0.00005,203.223834,0.000009,13,,,5/2,7/2,,
Cr,1,203.265,0.005,203.264431,0.000021,1,,,3,3,,
Cr,1,203.295,0.005,203.2970,0.0003,5,,,2,2,,
Cr,2,203.35495,0.00006,203.35495,0.00003,9,,,7/2,9/2,,
Cr,2,203.38722,0.00008,203.387192,0.000009,15,,,5/2,5/2,,
Cr,1,203.424,0.005,203.4250,0.0005,35,,,3,4,,
Cr,2,203.42720,0.00003,203.427236,0.000009,17,,,5/2,7/2,,
Cr,2,203.433851,0.000019,203.433841,0.000009,37,,,3/2,1/2,,
Cr,2,203.49057,0.00004,203.490586,0.000007,15,,,5/2,3/2,,
Cr,2,203.53321,0.00006,203.533221,0.000009,10,,,5/2,3/2,,
Cr,1,203.634,0.005,203.6367,0.0005,8,,,3,3,,
Cr,3,203.639,,,,60,,,,,,
Cr,2,203.69775,0.00012,203.697790,0.000009,5,,,7/2,7/2,,
Cr,2,203.72679,0.00017,203.726702,0.000008,7,,,7/2,7/2,,
Cr,2,203.72803,0.00011,203.727995,0.000009,10,,,5/2,5/2,,
Cr,1,203.772,0.005,203.77401,0.00017,1,,,2,3,,
Cr,1,203.821,0.005,203.82222,0.00003,7,,,3,3,,
Cr,2,203.8686,0.0002,203.868547,0.000008,5,,,5/2,5/2,,
Cr,1,203.898,0.005,203.900422,0.000017,1,,,4,4,,
Cr,2,203.90769,0.00015,203.90764,0.00012,3,,,5/2,5/2,,
Cr,1,203.930,0.005,203.9331,0.0007,35,,,4,5,,
Cr,3,203.963,,,,50,,,,,,
Cr,2,203.991769,0.000009,203.991765,0.000006,81,3.52e+06,,5/2,3/2,,
Cr,2,204.06496,0.00002,204.064955,0.000007,25,,,7/2,7/2,,
Cr,2,204.07110,0.00002,204.071110,0.000007,31,,,9/2,7/2,,
Cr,2,204.07397,0.00003,204.073935,0.000007,35,,,11/2,9/2,,
Cr,2,204.10379,0.00003,204.103828,0.000007,23,,,9/2,9/2,,
Cr,2,204.15847,0.00004,204.158470,0.000007,15,,,5/2,5/2,,
Cr,2,204.18236,0.00002,204.182362,0.000007,27,,,7/2,5/2,,
Cr,1,204.272,0.005,204.27321,0.00013,8,,,3,4,,
Cr,2,204.28419,0.00017,204.284455,0.000017,4,,,3/2,3/2,,
Cr,4,204.291,,,,50bl,,,,,,
Cr,1,204.306,0.005,204.3082,0.0005,10,,,4,4,,
Cr,2,204.32356,0.00014,204.32356,0.00008,6,,,7/2,7/2,,
Cr,6,204.4777,0.0010,204.48,0.03,9,,,9/2,9/2,,
Cr,6,204.4777,0.0010,204.47,0.03,9,,,7/2,9/2,,
Cr,6,204.4777,0.0010,204.48,0.03,9,,,9/2,11/2,,
Cr,2,204.5289,0.0002,204.528650,0.000009,3,,,7/2,5/2,,
Cr,2,204.533561,0.000016,204.533548,0.000007,37,,,11/2,13/2,,
Cr,2,204.59147,0.00019,204.59151,0.00003,4,,,5/2,3/2,,
Cr,2,204.70097,0.00007,204.700993,0.000007,10,,,5/2,3/2,,
Cr,3,204.723,,,,80,,,,,,
