element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,1,,,220.06834,,,8.2e+06,C,1,2,,
Ni,2,220.141,,220.1405,,600,1.3e+08,B,3/2,5/2,,
Ni,1,,,220.15602,,,7.3e+07,C,2,1,,
Ni,2,220.555,,,,5000,,,,,,
Ni,2,220.672,,220.6712,,4000,1.66e+08,B,5/2,7/2,,
Ni,2,,,221.0379,,,3.9e+07,C,7/2,9/2,,
Ni,1,,,221.21552,,,5.8e+06,D,3,2,,
Ni,2,221.648,,221.6477,,6000,3.4e+08,B,9/2,11/2,,
Ni,2,222.040,,222.0399,,800,2.3e+08,C,5/2,7/2,,
Ni,2,222.106,,,,500,,,,,,
Ni,1,,,222.19457,,,2.2e+07,D,2,1,,
Ni,2,222.296,,222.2950,,900,9.8e+07,B,9/2,9/2,,
Ni,2,,,222.4358,,,3.2e+07,C,7/2,5/2,,
Ni,2,,,222.4864,,,1.55e+08,B,7/2,7/2,,
Ni,2,,,222.6328,,,1.3e+08,B,5/2,5/2,,
Ni,1,,,223.09623,,,5.2e+06,E,1,2,,
Ni,2,224.268,,,,500,,,,,,
Ni,1,,,224.45276,,,3.8e+07,C,2,2,,
Ni,1,,,225.14899,,,4.0e+06,D,2,3,,
Ni,1,,,225.35722,,,1.9e+07,C,3,3,,
Ni,2,225.385,,225.3848,,500,1.98e+08,C+,3/2,5/2,,
Ni,4,,,225.456,,,1.9e-01,E,3/2,5/2,M1,
Ni,4,,,225.456,,,2.1e+00,E,3/2,5/2,E2,
Ni,1,,,225.4800,,,9.6e+06,C,4,4,,
Ni,1,,,225.81509,,,1.7e+07,C,3,2,,
Ni,1,,,225.95672,,,2.0e+07,C,2,1,,
Ni,1,,,226.14314,,,9.1e+06,C,4,3,,
Ni,2,226.446,,226.4461,,1000,1.43e+08,B,5/2,7/2,,
Ni,1,,,226.63526,,,2.3e+06,D,3,4,,
Ni,1,,,226.75596,,,8.0e+06,D,3,2,,
Ni,2,227.021,,227.0212,,2000,1.56e+08,B,7/2,9/2,,
Ni,1,,,227.19573,,,5.0e+06,C,3,3,,
Ni,1,,,227.46657,,,5.2e+06,D,3,3,,
Ni,2,227.728,,,,800,,,,,,
Ni,2,227.832,,,,400,,,,,,
Ni,2,227.877,,227.8770,,800,2.8e+08,C,7/2,5/2,,
Ni,4,,,227.935,,,2.8e-01,D,9/2,7/2,M1,
Ni,4,,,227.935,,,6.6e-03,E,9/2,7/2,E2,
Ni,4,,,228.704,,,5.2e-02,E,3/2,3/2,M1,
Ni,4,,,228.704,,,6.6e-01,E,3/2,3/2,E2,
Ni,2,,,228.7081,,,2.8e+08,C,5/2,3/2,,
Ni,1,,,228.73246,,,1.8e+07,D,1,2,,
