element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,diag_lines,
Ar,2,212.1542,0.0006,212.154262,0.000005,1,,,5/2,3/2,,,
Ar,3,212.234,0.004,212.231933,0.000023,8,,,2,3,,,
Ar,3,212.51373,0.00005,212.51373,0.00003,7,,,2,2,,,
Ar,2,212.52713,0.00007,212.527102,0.000004,5,,,3/2,3/2,,,
Ar,3,212.550,0.004,212.54710,0.00003,3,,,1,2,,,
Ar,2,212.5706,0.0006,212.57029,0.00003,1,,,7/2,9/2,,,
Ar,2,212.66643,0.00001,212.666435,0.000004,79,,,5/2,7/2,,,
Ar,2,212.70503,0.00004,212.705013,0.000004,10,,,5/2,3/2,,,
Ar,2,212.7646,0.0006,212.764843,0.000004,3,,,5/2,5/2,,,
Ar,3,212.789,0.004,212.78723,0.00004,3,,,2,1,,,
Ar,3,212.822,0.004,212.82069,0.00004,6,,,1,1,,,
Ar,2,212.8665,0.0006,212.865810,0.000007,1,,,3/2,3/2,,,
Ar,2,212.94236,0.00001,212.942384,0.000005,32,,,5/2,7/2,,,
Ar,2,212.98085,0.00002,212.980875,0.000004,21,,,7/2,5/2,,,
Ar,2,213.04258,0.00001,213.042582,0.000004,155,,,7/2,9/2,,,
Ar,2,213.0974,0.0006,213.09667,0.00005,0.5,,,5/2,5/2,,,
Ar,3,213.38684,0.00004,213.386832,0.000024,11,,,3,3,,,
Ar,2,213.4941,0.0006,213.49346,0.00014,1,,,5/2,7/2,,,
Ar,3,213.53565,0.00004,213.53563,0.00004,5,,,1,2,,,
Ar,3,213.673,0.004,213.67170,0.00003,3,,,3,2,,,
Ar,3,213.859,0.003,213.859422,0.000008,10,,,3,2,,,
Ar,2,213.88805,0.00001,213.888046,0.000003,59,,,5/2,5/2,,,
Ar,2,214.0747,0.0006,214.074780,0.000004,2*,,,7/2,7/2,,,
Ar,2,214.0747,0.0006,214.075683,0.000006,2*,,,3/2,5/2,,,
Ar,3,214.1125,0.0020,214.11620,0.00007,4,,,1,1,,,
Ar,2,214.16820,0.00008,214.168168,0.000004,7,,,5/2,3/2,,,
Ar,2,214.16835,0.00012,214.168318,0.000004,4,,,3/2,3/2,,,
Ar,2,214.22762,0.00002,214.227642,0.000004,17,,,3/2,1/2,,,
Ar,3,214.3455,0.0020,214.3455,0.0018,1,,,1,0,,,
Ar,2,214.3884,0.0006,214.38860,0.00006,3,,,1/2,3/2,,,
Ar,2,214.68255,0.00003,214.682568,0.000003,14,,,5/2,7/2,,,
Ar,2,214.7681,0.0006,214.768231,0.000004,2,,,5/2,5/2,,,
Ar,3,214.795,0.005,214.79562,0.00007,6,,,1,0,,,
Ar,3,214.83890,0.00006,214.83894,0.00003,4,,,2,1,,,
Ar,3,214.873,0.005,214.87747,0.00004,8,,,2,1,,,
Ar,3,214.907,0.005,214.91158,0.00004,3,,,1,1,,,
Ar,2,215.05367,0.00007,215.053649,0.000005,6,,,5/2,5/2,,,
Ar,2,215.10518,0.00001,215.105179,0.000004,129,,,5/2,7/2,,,
Ar,2,215.194,0.002,215.193403,0.000004,0,,,5/2,3/2,,,
Ar,2,215.30684,0.00001,215.306849,0.000003,120,,,3/2,5/2,,,
Ar,2,215.39813,0.00001,215.398140,0.000006,51,,,3/2,5/2,,,
Ar,2,215.5588,0.0006,215.559053,0.000005,1,,,3/2,3/2,,,
Ar,3,215.638,0.005,215.63583,0.00003,3,,,2,2,,,
Ar,3,215.753,0.003,215.75668,0.00019,3,,,1,0,,,
Ar,2,215.8755,0.0006,215.875454,0.000004,2,,,5/2,5/2,,,
Ar,2,215.88834,0.00002,215.888321,0.000004,25,,,3/2,3/2,,,
Ar,2,215.90494,0.00001,215.904944,0.000004,37,,,5/2,3/2,,,
Ar,2,216.18943,0.00002,216.189413,0.000004,20,,,3/2,5/2,,,
Ar,2,216.22906,0.00003,216.229030,0.000004,11,,,1/2,1/2,,,
Ar,2,216.43506,0.00004,216.435057,0.000006,13,,,5/2,5/2,,,
Ar,2,216.5039,0.0006,216.50364,0.00014,1,,,3/2,3/2,,,
Ar,2,216.57875,0.00002,216.578674,0.000005,17,,,3/2,5/2,,,
Ar,2,216.58188,0.00001,216.581881,0.000004,178,,,5/2,7/2,,,
Ar,3,216.619,0.005,216.61851,0.00006,15,,,1,2,,,
Ar,3,216.82822,0.00006,216.82817,0.00003,8,,,3,2,,,
Ar,3,217.02217,0.00007,217.02221,0.00006,5,,,2,2,,,
Ar,2,217.0914,0.0006,217.091351,0.000004,1,,,7/2,5/2,,,
Ar,2,217.1038,0.0006,217.103482,0.000004,1,,,3/2,5/2,,,
Ar,2,217.13140,0.00001,217.131395,0.000004,105,,,5/2,7/2,,,
Ar,2,217.14192,0.00001,217.141913,0.000004,107,,,5/2,7/2,,,
Ar,2,217.2341,0.0006,217.233979,0.000004,2,,,5/2,5/2,,,
Ar,2,217.26353,0.00003,217.263536,0.000004,11,,,1/2,3/2,,,
Ar,2,217.3209,0.0006,217.320830,0.000004,1,,,3/2,5/2,,,
Ar,2,217.374,0.002,217.374264,0.000010,0,,,1/2,3/2,,,
Ar,2,217.4190,0.0012,217.419058,0.000004,2bl?,,,5/2,7/2,,,
Ar,2,217.45839,0.00001,217.458391,0.000004,166,,,5/2,7/2,,,
Ar,2,217.55048,0.00001,217.550485,0.000007,58,,,5/2,5/2,,,
Ar,2,217.56381,0.00001,217.563802,0.000004,813,,,7/2,9/2,,,
Ar,2,217.59645,0.00002,217.596446,0.000004,20,,,5/2,5/2,,,
Ar,2,217.6387,0.0006,217.638998,0.000004,1,,,5/2,3/2,,,
Ar,3,217.71971,0.00007,217.71967,0.00006,7,,,3,2,,,
Ar,2,218.0089,0.0006,218.00872,0.00006,2,,,5/2,5/2,,,
Ar,2,218.02489,0.00004,218.024918,0.000006,7,,,7/2,5/2,,,
Ar,2,218.0789,0.0006,218.078940,0.000004,1,,,3/2,5/2,,,
Ar,2,218.0956,0.0006,218.094059,0.000004,0.5,,,5/2,7/2,,,
Ar,2,218.12106,0.00001,218.121044,0.000004,138,,,7/2,9/2,,,
Ar,2,218.13830,0.00007,218.138307,0.000010,8,,,3/2,3/2,,,
Ar,2,218.2849,0.0006,218.284531,0.000004,0.5,,,1/2,3/2,,,
Ar,3,218.40267,0.00004,218.40267,0.00004,10,,,2,1,,,
Ar,2,218.54865,0.00001,218.548627,0.000005,74,,,7/2,7/2,,,
Ar,3,218.66627,0.00003,218.666277,0.000025,12,,,3,2,,,
