element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
S,5,213.2499,,213.2506,,13,4.86e08,B,1,2,,
S,5,213.3140,,213.3143,,10,2.70e08,B,1,1,,
S,2,213.3318,0.0009,213.3328,0.0007,130,,,5/2,5/2,,
S,9,,,213.3,,,9.86e00,C,1,2,M1,
S,5,,,213.55,,,6.41e07,D,2,3,,
S,2,213.6443,0.0009,213.6434,0.0004,800,,,9/2,7/2,,
S,2,213.7799,0.0009,213.7793,0.0007,120,,,3/2,3/2,,
S,6,,,213.87,,,3.37e07,B,7/2,5/2,,
S,6,,,213.87,,,3.54e07,B,5/2,3/2,,
S,6,,,213.87,,,1.68e06,B,5/2,5/2,,
S,4,214.2014,,214.2006,,1,6.20e06,D,5/2,5/2,,
S,2,214.2266,0.0009,214.2257,0.0007,790,,,7/2,5/2,,
S,9,,,214.2,,,4.26e01,C,2,2,M1,
S,2,214.2822,0.0009,214.2822,0.0009,320,,,3/2,1/2,,
S,2,214.2915,0.0009,214.29193,0.00018,200,,,5/2,7/2,,
S,2,214.3336,0.0007,214.3330,0.0003,4200,,,7/2,9/2,,
S,2,214.4054,0.0009,214.4047,0.0007,500,,,5/2,3/2,,
S,5,214.6052,,214.6062,,17bl,7.93e08,B,2,3,,
S,2,214.6072,0.0009,214.60737,0.00018,320,,,5/2,5/2,,
S,2,214.6569,0.0010,214.6566,0.0003,1200*,,,1/2,1/2,,
S,2,214.6569,0.0010,214.6566,0.0003,1200*,,,1/2,3/2,,
S,5,214.7032,,214.7035,,12,1.97e08,B,2,2,,
S,5,214.7682,,214.7681,,9,2.19e07,B,2,1,,
S,2,214.8326,0.0010,214.8330,0.0003,1200*,,,3/2,1/2,,
S,2,214.8326,0.0010,214.8330,0.0003,1200*,,,3/2,3/2,,
S,2,214.8707,0.0009,214.8694,0.0003,500,,,5/2,7/2,,
S,5,,,214.963,,,1.16e08,B,1,2,,
S,2,214.9759,0.0009,214.9740,0.0003,200,,,5/2,3/2,,
S,5,215.0275,,215.0273,,0,6.35e07,C,1,1,,
S,2,215.2228,0.0009,215.22175,0.00023,770,,,5/2,5/2,,
S,10,,,215.628,,,1.03e02,A,3/2,3/2,M1,
S,2,215.9158,0.0007,215.91522,0.00019,2700,,,1/2,3/2,,
S,2,216.0697,0.0007,216.06914,0.00023,4000,,,3/2,5/2,,
S,2,216.2111,0.0009,216.21174,0.00023,480,,,5/2,5/2,,
S,2,216.2352,0.0009,216.23634,0.00019,120,,,5/2,3/2,,
S,5,216.4353,,216.4352,,1,,,2,3,,
S,10,,,216.5,,,1.71e01,C,1/2,3/2,M1,
S,2,216.5275,0.0009,216.52585,0.00019,480,,,7/2,7/2,,
S,2,216.5540,0.0007,216.5541,0.0004,2700,,,7/2,9/2,,
S,4,,,216.735,,,2.67e07,D,7/2,5/2,,
S,1,216.88851,0.00020,216.888568,0.000018,1900,,,2,1,,
S,2,216.9718,0.0009,216.9712,0.0003,300,,,7/2,9/2,,
S,2,217.0506,0.0009,217.05191,0.00019,190,,,3/2,5/2,,
S,2,217.1155,0.0009,217.1154,0.0003,470,,,7/2,7/2,,
S,2,217.3004,0.0007,217.2999,0.0003,2600,,,7/2,7/2,,
S,3,,,217.3739,,,4.53e08,D,1,1,,
S,9,,,217.5,,,5.00e01,C,3,2,M1,
S,2,217.6550,0.0009,217.6537,0.0004,180,,,7/2,9/2,,
S,3,217.7233,,217.7241,,10,2.20e08,B,1,0,,
S,2,217.7808,0.0009,217.77995,0.00024,730,,,3/2,5/2,,
S,2,217.8069,0.0007,217.8070,0.0003,3900,,,5/2,7/2,,
S,2,218.0360,0.0009,218.0363,0.0003,730,,,7/2,7/2,,
S,2,218.5932,0.0009,218.5931,0.0004,1100,2.78e06,D,3/2,3/2,,
S,2,218.7264,0.0006,218.7274,0.0004,12000,3.54e07,D,5/2,3/2,,
S,12,,,219,,,5.80e05,D,1/2,3/2,,
S,2,218.8513,0.0007,218.8516,0.0003,8200,,,5/2,7/2,,
S,2,219.0593,0.0007,219.0597,0.0003,5600,,,7/2,9/2,,
S,2,219.2372,0.0020,219.2383,0.0004,5600bl,3.90e07,D,3/2,1/2,,
S,9,,,219.7,,,7.20e-01,D,2,1,M1,
S,13,,,220,,,2.54e07,C,1,2,,
S,2,219.7167,0.0009,219.7160,0.0008,180,,,7/2,5/2,,
S,6,,,219.805,,,2.97e07,B,1/2,3/2,,
S,2,219.8090,0.0007,219.8088,0.0003,2500,,,5/2,7/2,,
S,3,220.0267,,220.0271,,9,4.54e06,D,2,1,,
S,6,,,220.170,,,3.13e07,B,1/2,1/2,,
S,2,220.3773,0.0009,220.3777,0.0009,110,,,5/2,3/2,,
S,2,220.5627,0.0009,220.5623,0.0003,1100,,,5/2,7/2,,
S,10,,,221.125,,,5.48e01,A,5/2,3/2,M1,
S,10,,,221.125,,,5.69e-01,A,5/2,3/2,E2,
S,2,221.3800,0.0009,221.3803,0.0004,1000,,,7/2,9/2,,
S,6,,,221.652,,,1.04e08,A,7/2,5/2,,
S,6,,,221.652,,,5.19e06,B,5/2,5/2,,
S,6,,,221.693,,,1.09e08,A,5/2,3/2,,
S,4,222.4910,,222.4903,,5,,,1/2,3/2,,
S,6,,,223.25,,,1.24e07,B,3/2,3/2,,
S,6,,,223.30,,,1.11e08,A,5/2,3/2,,
S,4,223.4061,,223.4058,,7w,,,3/2,5/2,,
S,6,,,223.5,,,1.24e08,A,3/2,1/2,,
S,2,223.6766,0.0010,223.6765,0.0015,29000*,,,9/2,11/2,,
S,2,223.6766,0.0010,223.6765,0.0015,29000*,,,9/2,9/2,,
S,3,,,223.682,,,8.90e06,D,1,0,,
S,10,,,224.484,,,5.77e01,A,3/2,1/2,M1,
S,4,224.5729,,224.5742,,1,4.36e07,D,3/2,1/2,,
S,4,224.8437,,224.8435,,9,5.07e08,C,1/2,3/2,,
S,4,225.0836,,225.0835,,8w,6.07e08,C,3/2,5/2,,
S,4,,,225.551,,,2.29e02,E',3/2,3/2,,
S,4,,,225.620,,,9.07e02,D,5/2,3/2,,
S,2,226.1631,0.0009,226.1630,0.0006,250,,,1/2,1/2,,
S,4,226.2223,,226.2245,,8,6.41e08,C,1/2,3/2,,
S,4,,,226.284,,,6.87e08,C,3/2,5/2,,
S,4,,,226.333,,,4.26e06,E,3/2,3/2,,
S,4,226.4971,,226.4977,,5,9.93e07,D,3/2,3/2,,
S,5,,,226.550,,,2.22e-01,C,0,1,M1,
S,2,226.8866,0.0024,226.8832,0.0003,380*,,,7/2,5/2,,
S,2,226.8866,0.0024,226.8877,0.0003,380*,,,9/2,7/2,,
S,4,227.0063,,227.0070,,1,2.54e08,D,3/2,3/2,,
S,4,227.0286,,227.0286,,12,3.26e07,C,3/2,5/2,,
S,4,227.0524,,227.0518,,1,5.43e06,D,3/2,3/2,,
S,4,227.1002,,227.1018,,9,3.27e07,D,1/2,3/2,,
S,4,227.1298,,227.1297,,8,7.76e08,C,5/2,7/2,,
S,4,,,227.381,,,2.05e07,D,7/2,5/2,,
S,2,227.3873,0.0009,227.3881,0.0009,92,,,5/2,5/2,,
S,4,227.6944,,227.6942,,5,2.19e08,D,5/2,5/2,,
S,2,227.7858,0.0009,227.7859,0.0008,91,,,9/2,11/2,,
S,2,227.8209,0.0007,227.8195,0.0003,2100,,,7/2,7/2,,
S,8,,,227.8,,,1.80e01,C,3/2,3/2,M1,
S,4,,,227.833,,,4.32e07,D,3/2,1/2,,
S,2,227.9516,0.0009,227.9529,0.0005,900,,,1/2,3/2,,
S,4,228.0074,,228.0058,,4,,,3/2,5/2,,
S,2,228.0448,0.0007,228.0446,0.0004,2100,,,9/2,9/2,,
S,4,,,228.064,,,1.01e06,E,5/2,5/2,,
S,2,228.1997,0.0010,228.1992,0.0010,150*,,,1/2,3/2,,
S,2,228.1997,0.0010,228.2007,0.0004,150*,,,5/2,5/2,,
S,3,228.3646,,228.3662,,7,1.04e08,D,1,1,,
S,4,228.3924,,228.3918,,10,8.91e08,C,7/2,9/2,,
S,4,,,228.426,,,1.78e07,D,5/2,3/2,,
S,2,228.4537,0.0009,228.4524,0.0004,370,,,7/2,5/2,,
S,5,,,228.463,,,1.62e-01,C,1,1,M1,
S,5,,,228.463,,,1.36e-02,C,1,1,E2,
S,6,,,228.58,,,6.50e06,B,1/2,3/2,,
S,5,,,228.609,,,1.80e-01,C,2,3,M1,
