element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
C,2,213.7897,0.0009,213.7905,0.0003,220h,4.45e+07,B,,
C,2,,,213.79168,0.00023,,7.46e+06,B,,
C,3,,,214.3340,,,4.13e+05,C+,,
C,3,,,214.4827,,,1.24e+06,B,,
C,3,,,214.7979,,,2.05e+06,B,,
C,2,215.470,0.004,215.470,0.004,37h,1.87e+07,B,,
C,2,215.539,0.004,215.537,0.004,37h,1.87e+07,B,,
C,2,215.628,0.004,215.627,0.003,48h,1.87e+07,B,,
C,3,216.294,,216.2926,,250,8.18e+08,B,,
C,2,217.3848,0.0007,217.38503,0.00011,190,2.31e+07,B,,
C,2,217.4168,0.0007,217.41652,0.00014,120,2.31e+07,B,,
C,3,,,217.6955,,,2.15e+08,B,,
C,3,,,218.183,,,6.19e+06,B,,
C,3,,,218.194,,,1.86e+07,B,,
C,3,,,218.217,,,3.09e+07,B,,
C,3,,,218.685,,,7.32e+06,B,,
C,2,218.7480,0.0020,218.74790,0.00024,44,6.77e+06,B,,
C,2,218.8390,0.0020,218.83769,0.00024,57,3.40e+07,B+,,
C,2,218.8720,0.0020,218.8705,0.0003,44,2.70e+07,B,,
C,2,218.9620,0.0020,218.9604,0.0003,44,1.35e+07,B,,
C,2,,,219.5543,0.0014,,9.7e+00,C,,
C,3,,,220.2530,,,3.40e+07,B,,
C,3,,,221.289,,,1.36e+06,B,,
C,3,,,221.8303,,,1.85e-02,C,M1,
C,3,,,222.0649,,,1.73e-03,C,E2,
C,2,,,223.849,0.005,,3.17e+06,B,,
C,2,,,223.921,0.004,,7.93e+06,B,,
C,2,,,223.931,0.005,,1.58e+07,B,,
C,2,,,224.003,0.004,,2.53e+06,B,,
C,2,224.105,0.006,224.100,0.003,40h*,5.70e+06,B,,
C,2,224.105,0.006,224.115,0.004,40h*,8.54e+06,B,,
C,2,224.210,0.004,224.212,0.003,39h,1.33e+07,B,,
C,2,225.523,0.004,225.524,0.004,30h,1.7e+07,C,,
C,2,225.568,0.004,225.567,0.003,39h,2.8e+07,C,,
C,2,225.619,0.006,225.607,0.004,50h*,1.9e+07,C,,
C,2,225.619,0.006,225.620,0.007,50h*,3.7e+07,C,,
C,2,225.679,0.004,225.681,0.003,30h,,,,
C,2,,,225.721,0.004,,1.2e+06,E,,
C,2,,,226.6519,0.0008,,8.40e+05,B,,
C,2,226.7770,0.0020,226.7805,0.0008,29,7.55e+06,B,,
C,2,,,226.8155,0.0010,,2.09e+06,B,,
C,2,226.8910,0.0020,226.8894,0.0010,38,1.34e+07,B,,
C,2,226.9360,0.0020,226.9363,0.0021,29,2.09e+07,B,,
C,2,226.9700,0.0020,226.9676,0.0008,49,3.35e+07,B,,
C,2,227.020,0.006,227.0103,0.0021,49*,2.09e+07,B,,
C,2,227.020,0.006,227.0183,0.0010,49*,2.63e+07,B,,
C,5,227.091,,227.08857,0.00016,40,5.669e+07,AA,,
C,5,227.725,,227.72639,0.00016,5,5.621e+07,AA,,
C,5,227.792,,227.79131,0.00016,20,5.616e+07,AA,,
C,3,,,228.998,,,1.31e+05,C+,,
C,3,,,229.107,,,6.36e+05,C,,
C,3,,,229.107,,,7.09e+04,D,,
C,3,,,229.107,,,1.43e+03,D,,
C,3,,,229.138,,,5.65e+05,C,,
C,3,,,229.138,,,5.06e+04,D,,
C,3,,,229.162,,,6.59e+05,B,,
C,3,,,229.182,,,5.84e+05,C,,
C,3,229.687,,229.6871,,800,1.376e+08,A+,,
C,3,,,229.6871,,,5.43e-05,C,M2,
C,3,,,230.737,,,4.71e+05,B,,
